galaxies_lens_bulge_mass_to_light_ratio,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,galaxies_lens_dark_mass_at_200,galaxies_source_bulge_intensity,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
0.40783940074406355,0.07277329084161725,-0.00859767786927224,27509564067.37441,956082.1604929303,-0.7921497906976875,2.059718545823692,3.133402465303451,-1.935095292155521e+16,2.720440182963123,-1.9350952921555204e+16,0.0
1.8791404750001727e-05,-0.08899484688179947,-0.0039194645965086785,603102830414760.0,549114.3162755517,-0.03821830330573128,-1.1526089498863004,1.6811300584369315,-6287278444421122.0,53216.21609699234,-6287278444367906.0,0.0
0.007399749717051949,-0.08988024823089899,-0.11443979951330181,74388693923741.39,310851.26260570384,-0.2018262988519286,2.3849209080880156,4.806296245765116,-3402668803201029.0,136.1984553866768,-3402668803200893.0,0.0
3.370163924602197e-05,0.12068068322420185,0.1990071313238217,72181162950124.28,339310.9291190818,-1.0162774428786039,0.7548408114977283,1.9229401085499171,-2373210193620903.5,29674.85556874357,-2373210193591228.5,0.0
0.0690350136581758,0.100794079647387,-0.0730863034541605,29944285884104.074,577282.7778176097,-2.709700491558361,-2.3775278352238445,2.80864919839542,-1368002669034031.2,15.260457532129767,-1368002669034016.0,0.0
0.9952758072422868,0.0027408814308008417,0.013776357646256173,26858863690.330486,127564.03792056421,0.5720009922329377,-0.6177558655287765,1.7526981059054285,-400725206450301.6,1.0146194789778509,-400725206450300.6,0.0
0.0002686121709194092,0.11730831083916769,0.09978485895102833,284828955643284.4,119884.96637130307,1.404337753239778,-0.6702819267780802,2.5086845398086286,-384765815015411.1,3724.0254209386503,-384765815011687.1,0.0
3.160336235124788e-06,0.04257727746232633,0.13856550019177483,985321829220784.8,109980.34708045263,2.015057063650043,-1.7088579652803606,4.904582343838523,-347131634298317.06,316423.0784550233,-347131633981894.0,0.0
2.5674750833124056e-06,0.11017863723798653,-0.014937530322667678,70435504213021.86,788815.4412116546,0.47534801934404136,-1.4729950482698277,0.30749401211301985,-235631662912988.72,389488.33175384055,-235631662523500.38,0.0
6.421173964422075e-06,0.1195407808111975,0.03684921562950308,329777764584638.06,177330.47036579502,2.3836571191444698,-0.5925256480049494,2.1260368055472885,-172272167127530.3,155735.54453741212,-172272166971794.78,0.0
1.8395001699721816e-06,0.0008821862937386461,0.07061588106180468,166965344179634.8,99942.2897732699,1.4960273503866777,2.868775466469865,3.9448895999658413,-133415959199059.11,543626.1844694094,-133415958655432.92,0.0
4.385123325587497e-06,-0.23832544607198639,-0.02482419847350617,76659309555319.4,135162.58038873112,-2.230925466045494,1.1264516509567644,1.9128201816970225,-106033775656129.62,228046.62820926643,-106033775428083.0,0.0
0.5522712554605079,0.026625563157650967,-0.09633129926054224,5464465562.049151,26778.49354101438,-0.25840599791578,0.090808776070054,4.5185258979190674,-52425146893851.27,2.3101737491398096,-52425146893848.96,0.0
0.8953782735463821,0.11879448604116329,0.13632986583915618,78331636610.92825,52917.17206753178,-2.567956694711521,-0.27845515738664606,2.499016900184052,-22296683280717.355,2.751763407527654,-22296683280714.605,0.0
1.6575741379900118e-06,0.05363977964819313,0.042606095276382844,55169773280847.63,75263.49580390252,-2.777958208449574,-2.941983214068643,3.106746588527027,-19142843742744.82,603291.5005197927,-19142843139453.32,0.0
0.06532271677320917,0.06438177601771744,-0.023321755785318476,76087198774164.98,49617.79708310342,0.9345555698325718,-2.0276031934162084,1.7135450743245417,-14422414289761.023,15.543076096016016,-14422414289745.48,0.0
0.6883887636734917,0.15111395483768708,0.02351619093849558,59719318118.34752,20281.744691112202,-2.226534544444732,-0.37782969680246037,3.886026561292328,-11274374052566.932,2.6221387573157298,-11274374052564.309,0.0
0.42054222109701667,-0.09996609071771402,0.024878251994578562,108148879872.4488,18932.679482966294,-2.498502834814733,1.0069240499639953,4.661066024410348,-10524308387033.338,2.908542682916437,-10524308387030.43,0.0
2.5941526870978082e-06,0.0492263632716824,-0.1306905990023729,778797850692503.1,37207.333853292235,0.9503816749221725,-2.448078844136673,1.8565678192580086,-2926748807422.3765,385483.29663322883,-2926748421939.0796,0.0
0.0007712452811715954,-0.14937229362508186,-0.028108354106428337,493354538686867.7,7330.054043798374,0.49028670045721867,-1.908257607416091,4.944338504710465,-2549488087786.063,1297.7596120331339,-2549488086488.303,0.0
9.469205002255118e-06,0.10181871959092281,-0.0393311258099194,63608163330617.52,11673.965110506506,0.22827046564515374,-2.7347136032798898,3.7192904165341134,-2539132884957.4316,105606.08217619658,-2539132779351.3496,0.0
0.1586354264925798,-0.10534794065644784,-0.0038961857792805077,36606356275725.445,9838.962731817042,-0.7014999296446844,1.3737472955308982,2.133782166476048,-1928868167909.6714,6.859532247759756,-1928868167902.8118,0.0
0.0003018029292281028,0.14041779393168247,0.1503477430894896,65476448385880.84,46663.74789246021,1.471320695436889,-2.82139813130893,1.5433561315818056,-1703868087140.8818,3315.5365595025173,-1703868083825.3452,0.0
3.802013127990863e-05,-0.08748546441228505,0.02556649998095431,315612167048854.56,16258.827415715159,0.5438372204202144,-2.5541217928505464,2.445351947770507,-1608425861455.1084,26302.2709550277,-1608425835152.8374,0.0
0.9202301691369014,0.03266138896328581,0.06752062311111272,315328284071453.25,7196.888427426774,-1.0643183605989206,0.9704277124677505,2.66987042406206,-1553046494553.6067,1.3681136434491414,-1553046494552.2385,0.0
0.5156780334312027,-0.18487200292864447,0.12285498735227157,48299011697958.74,8279.179599946525,0.22109463497281023,-1.9046070865681277,3.0317178727726364,-1535802967055.354,4.402865542099106,-1535802967050.9512,0.0
0.024243187042019283,-0.10876517979336107,-0.08645093447713655,97348743364098.22,193600.5776425323,1.36551668029258,2.8545911569876345,0.8378437170198716,-812839372444.4213,42.21388867529991,-812839372402.2074,0.0
0.000934893327370271,0.15166438336561663,-0.1878158609064935,500877164552084.94,74926.6642531452,-1.4163518806239335,1.0737514052117838,0.6566175494192089,-472761024029.855,1072.5546076374035,-472761022957.30035,0.0
0.8486012008138833,0.07457296340464754,0.07325767597648225,13952759206.818594,2600.184458032726,-1.8045382692961238,-0.3167201808760014,3.3963993268691413,-204727020583.36807,1.7251851199768489,-204727020581.64288,0.0
1.74981714879022e-05,0.018377230150596165,-0.09161206040683642,275622074022405.38,5745.011478942957,0.39993892076401316,-2.404714531657725,1.6879697099666713,-90432971032.34262,57149.26511719624,-90432913883.0775,0.0
1.0626963957662908e-06,-0.15422353000898187,0.020300506679013293,237186338066100.6,1206.4433719219292,1.810937304937445,1.3767760878336572,3.929213688656924,-38535332360.931206,941003.743466558,-38534391357.18774,0.0
0.0011500436577658979,0.01825161347322974,-0.06532235137925664,332732630341310.75,730.446739514928,1.6764997311708694,0.25175563032789494,2.8793074266265446,-14677126918.168734,869.7635826756842,-14677126048.405151,0.0
0.36467769770657626,0.052943251884729904,-0.10250113387492069,3298514329589.0527,287.21723327511074,-0.39709566143180375,-1.171072839558058,4.67314906079593,-4922236414.775845,3.411102601866408,-4922236411.364742,0.0
0.012506179831409205,0.19536107324792332,-0.007691248303677347,168333637031256.97,550.1813989442419,1.7497862314911945,-2.0192589607198155,2.7629899725938616,-2965462130.6571507,81.87354141716327,-2965462048.7836094,0.0
1.5550738118849194e-06,0.11256469380406509,-0.1632949470373778,116350658839469.28,1997.406811343523,-0.9759901847275394,-0.7938538803551438,0.25518371318081157,-1242742863.9775984,643058.2597809267,-1242099805.7178175,0.0
0.15275724737516405,0.03580386171685595,0.03246282764213004,90357320967599.45,314.2137777183263,0.13066122452946782,1.3321512615137934,1.3013963173457403,-1055279180.8901404,6.666304378449859,-1055279174.2238361,0.0
0.002041551367093477,-0.06153079660787499,0.010790411765720077,106386279761934.61,257.53527187021496,-2.5851401757256753,1.7335862197569245,3.8170234450964924,-933913165.1539153,490.0225868610451,-933912675.1313285,0.0
0.05256284512654077,-0.030094032432062653,0.02518509193672988,473716943823510.25,762.3876846846848,-1.6818282604819879,2.251133926046629,1.721886850443493,-610053248.220745,19.103154006738595,-610053229.1175909,0.0
0.0005695058436388044,0.12859223168932568,-0.0032626277578027317,125423382623840.92,81.21703687606937,0.5801461559274688,0.012709572794717516,4.052093825553343,-487739315.52923477,1756.7478767523137,-487737558.781358,0.0
0.00765380974262839,-0.14681583122664485,0.0439338671570132,241299944268084.47,241.0444494074296,-0.936800669915244,1.0001639483172298,1.0503657416180538,-456368845.03668004,131.8322901456932,-456368713.20438987,0.0
0.3718890431105396,0.06235557112111059,0.005464059555634858,131023749580343.89,167.24080970085126,1.215037462694303,0.7577156152756812,1.7186981920829107,-425439971.0289545,2.890857148202438,-425439968.13809735,0.0
0.0003540443300091038,-0.04498788123221025,-0.0028808119983697385,379531925529254.56,77.21207531100339,0.2155590629430142,-0.90357031852152,3.3018038563507233,-386381383.3544906,2824.6196173201943,-386378558.73487324,0.0
0.14090019686880959,-0.056413762181413515,0.10923988796501208,30749991025856.95,116.066671714516,-2.9988664951786266,1.4115558131990653,4.44731694411497,-235323700.1498264,7.8616311850928415,-235323692.28819522,0.0
0.038781485626761,0.2273987788393726,0.008668343172112403,58829655404057.2,71.97667150309424,1.743988282338627,1.143743034445702,4.212396393204389,-197471641.1710813,28.38866069113406,-197471612.7824206,0.0
0.19280421689730406,0.19416130572251422,0.02483438346255267,148577814222824.6,522.8920808989567,-0.4534956425020642,-0.31579687962254077,0.21800750391605672,-89294651.14672536,7.104288953458536,-89294644.0424364,0.0
0.45041078253321454,0.05069415872001471,0.00718045070218898,6102778248467.308,846.8798430698156,0.39636992629571743,0.7669120982334476,0.2004863660612205,-69327245.95495707,2.3524491516674173,-69327243.60250792,0.0
0.650312741117989,0.0436770405157291,-0.025991761201636307,4356129049392.707,159.29669480706667,1.3391235947216416,0.8750580856975154,0.7486875938404691,-50714967.768546,1.6731620488564354,-50714966.09538395,0.0
0.0006105150123134658,0.13267001141519472,0.0161546809277893,123935667682521.0,169.3192480422351,0.06423643777249932,-1.931703697459573,0.8644463083121579,-49303289.23683102,1638.8603814992653,-49301650.37644952,0.0
0.9283782664816527,-0.07244336814469532,0.10572439606166889,13251213158743.28,37.90778822978021,-2.6656521184910438,0.7442074946416972,4.487449366677406,-35360014.581685066,1.9248114247551475,-35360012.65687364,0.0
0.00214141685445258,0.10926656718832886,-0.14009803298523113,72855227306182.73,92.09314304171549,-2.240026462788192,-0.40122236720680426,1.3818856592653794,-27634522.50447789,468.56973108949865,-27634053.934746798,0.0
5.9234356481044135e-05,-0.11696454144008309,0.109594355963155,60849743307236.945,26.80621357449875,0.15826097554470397,-1.9185568969944704,3.739630623651851,-24048919.514779232,16883.416322653215,-24032036.09845658,0.0
1.2936388386891207,0.09118167195072183,-0.02888279806878487,420614850.3958269,40.2630454927284,2.378842348530392,-2.6550220342207425,4.212811551980288,-19252478.407460514,1.2552656178063808,-19252477.152194895,0.0
0.23165689457828664,0.25138915643633436,-0.009817587537535482,433823365649203.44,25.96056891241727,-0.006192750349317322,-1.8584435106611006,2.831965716304476,-13872407.49341293,7.519893456460338,-13872399.973519474,0.0
0.0005936561135282583,-0.17798141156533961,-0.025763623171253525,96668273583190.03,20.131285520456228,2.029167067956994,-0.6222739831165032,4.118555844490387,-13308239.677799936,1686.14361480595,-13306553.53418513,0.0
0.4813938154987639,-0.06511177160923758,0.06449254394217109,47965089372755.42,20.728398802213913,-0.1255767962687364,2.81815519906759,4.7740319191466405,-11346039.083529811,2.545485846994293,-11346036.538043965,0.0
3.013994063912278e-06,-0.07387847582131828,0.05400980839869032,572281524649835.5,128.5101362142817,-2.8740501477262033,0.3989736765194287,1.542271176505317,-8296661.925409478,331786.0833072387,-7964875.84210224,0.0
0.0006369733544364664,-0.05636749601463781,-0.03306420703438232,224169048196248.78,34.113580291338636,2.0166380362438563,0.8244886893797094,1.9113140609362633,-6993004.946566689,1570.1672229504695,-6991434.779343738,0.0
1.2343145687480235,-0.007940294054193072,-0.018317943307321057,11318649112.823982,1239.7850995642873,-0.9165094600668473,-2.661619067727207,0.33501477982974703,-1856247.4141315855,0.8309026028807903,-1856246.5832289825,0.0
0.026226360233713004,-0.06630069627827295,-0.006225936215875919,352699117250658.75,356.65689063299294,-1.336024508604524,-1.8432187896773753,0.5902765987324533,-1737258.3312091923,38.354107208238794,-1737219.977101984,0.0
0.0007471464648548205,-0.025648898994386236,-0.008782836987076654,108506476498203.27,8.883704674813005,-2.2123372447351386,1.1008366090609645,2.811526187810403,-999466.3814555852,1338.5749754082192,-998127.806480177,0.0
0.0862825962455768,0.0023904943262988304,0.005569950083766118,199052550552302.72,4.42484030455081,0.8312107999711271,1.864732941723119,2.8569937686954434,-361256.86755014193,11.8176565829757,-361245.04989355896,0.0
1.0068625886347191,0.031085172699829803,-0.043538037787110434,1412258569.101187,3.583808063576964,1.5255808786455116,-2.5480676369410116,4.221947559590919,-234682.4415405884,1.4153094213898187,-234681.026231167,0.0
0.9117954470083657,-0.019786704593767416,-0.16116704637618806,61103039467.66509,5.650657332670283,-1.1873049493735248,-2.7119502101548045,2.7136286932424074,-209596.2063813378,2.5920243030290653,-209593.61435703476,0.0
0.6136822777639903,-0.10281632193355356,-0.15157914543305068,145274830.44378302,1.8872995319978876,-0.3581773925986709,0.2785398392171423,3.1437262270081545,-175991.8364132317,3.8367369808610237,-175987.99967625085,0.0
0.7279717680570539,0.14402903055165012,-0.012295575313097372,520439870.01147944,7.217170752048037,1.263890367890137,1.7186530755273823,1.122973562900893,-132029.17525817687,2.5570152387342544,-132026.61824293813,0.0
2.9386747417094195e-05,0.030198294805039893,-0.06573410563240235,237518510937188.5,1.613331379387574,0.6633577717051033,0.8461311728616567,2.650895987113608,-105092.50651346876,34029.82608671226,-71062.6804267565,0.0
0.0009280965331664967,0.0012524900413114182,-0.022867296667249213,189730530658711.22,1.3803491466263815,-1.078072530625269,-0.789400498111255,3.0675679139918284,-74317.28122480627,1078.224803501868,-73239.0564213044,0.0
1.0273047547387226e-05,-0.017198602921653067,0.04288977711182814,286240127397870.56,1.0081956281783637,0.14180993035835954,0.20837593588114967,3.0706872075226297,-73544.55189177665,97343.19652856493,23798.64463678829,0.0
0.8365973874436738,-0.025845611990189345,-0.042283540722066804,20568647085.92512,17.793998005612142,-1.7600266840433907,2.3155770319699815,0.9465726210082657,-60410.41446791367,1.3743114992230818,-60409.04015641445,0.0
0.00015025406075063036,0.08830239689514346,0.17886845855139094,983433139420806.9,1.19551400539742,0.6868574552871305,-0.7564082081031787,2.3022008688944235,-48323.02276215611,6658.220192643915,-41664.8025695122,0.0
0.003551082726847284,-0.0986472264971185,0.037001222599488126,457297891830562.25,4.368778544867238,1.6274080382342362,1.4055817690995376,1.5931065408687957,-46847.13662857947,282.3881686035915,-46564.74845997588,0.0
0.5946440213723277,0.06227169343069166,-0.0010962839699372765,22413301349790.32,2.6753959528767943,-2.996613690147678,0.23872498841028067,2.360910308902889,-22542.229150079052,2.2494031206466154,-22539.979746958405,0.0
1.55861414772397,0.012740216308323999,0.021278262104254243,24118422003.85673,1.795983697103209,2.7217673663668887,0.40623894651994963,2.575053444736946,-18661.528651788678,1.22914741811848,-18660.29950437056,0.0
0.7579994781419241,-0.015033034541082776,-0.09199651016457763,97138767397.99336,2.1034702188873107,0.7766543575846336,-0.034354352239282626,0.7655471940106134,-17346.959291243154,2.229134499173097,-17344.730156743983,0.0
1.1135860161984625,-0.03889520398513497,0.040542948902863175,19434191153.60323,1.3112095760018363,-1.081208344801222,1.3926976955018135,1.702053031360928,-14370.031768729737,1.818482750971842,-14368.213285978765,0.0
1.3167670667070077,-0.08492804108145173,0.028163038440069545,548833307.010588,0.4601235790346622,0.7214997487734203,-0.5287417608845182,4.373859092103328,-12437.421027376551,3.3330613865409524,-12434.087965990011,0.0
0.02324892107214728,-0.13520902342382377,-0.06196498635274117,88243678353296.08,1.0598452831285774,-2.1278318243865666,1.646338657263441,2.6078987570913426,-8395.819778994419,45.062339637668394,-8350.75743935675,0.0
0.9238341712581665,0.001459030321218532,0.050321685086221035,63793473211484.73,7.738708470133275,-1.3855303176404508,2.9038291987500546,1.3928586589403942,-7889.586173363494,1.3383859135897536,-7888.247787449904,0.0
2.229695270240369e-06,0.09052281359096595,-0.05881013921385618,149539445762628.5,1041.5059825871608,-1.1141729460088372,-1.6140104635288448,0.045820794346558835,-7261.85254386466,448492.3633382195,441230.5107943549,0.0
0.21044297509868146,0.004327370058708934,0.09425981636727143,412493398696400.06,0.775451956684877,-2.512242836354171,1.9822558650517141,3.7987849415963373,-5156.002362802687,6.486633616572792,-5149.515729186114,0.0
0.45004501348267983,-0.22880400459130737,0.11719979068422524,7948812378.345746,0.6719095904283289,2.414560210829592,2.7370543965774186,4.333064598499187,-4942.831801583279,7.014648598920492,-4935.8171529843585,0.0
2.0239037050900228e-05,-0.11949964948184853,-0.12319060822069326,395255207794274.06,0.8747658594066384,-1.5016601459000387,0.8891403927593293,1.3978649235615415,-2919.1508526904727,49412.08132339035,46492.930470699874,0.0
0.013157250452187559,-0.05828606223168886,-0.07993583005389433,98750957606382.0,6.396981928899777,-1.2416692318793705,1.1249834789276392,0.1757341509707372,-2689.780497267748,76.6493953873778,-2613.1311018803704,0.0
1.7324733220831837e-05,0.0416755873765138,0.07267566369014576,463331861131759.0,35655.16673455998,-2.450537833702015,-0.3519777253051046,0.22321396896271717,-2613.820255437193,57721.2974949518,55107.477239514614,0.0
0.0006405859284946447,0.04558869576104343,0.20646488783170605,881725097556341.2,6.2101501758218225,-0.44595466920074145,1.4206760799290974,0.4999303967528196,-2318.3983319305817,1563.4671496014942,-754.9311823290875,0.0
0.025975376723519412,-0.02972051853744274,0.028615536703293667,49729371868933.914,0.5033627985783895,-2.739606823346074,-2.7396727120515765,4.225575376481384,-1544.7988193897609,40.569744532443785,-1504.229074857317,0.0
0.2777213000875691,-0.003261897568278132,-0.02690498643763697,8112433638181.618,0.4338028748204936,2.7971011446859197,-1.8447713388814446,3.2904892641087695,-774.2972448534551,5.942652510680562,-768.3545923427746,0.0
2.551401465222834e-05,-0.3450573885363796,-0.020939967049348997,84527614251549.81,0.01767004213099132,-0.4915809273760807,2.0822470288913433,2.6923258056001185,-722.4434922350799,39256.71351421372,38534.27002197864,0.0
0.400351882101151,-0.25710940902462287,0.08505012449851876,1279924921.9103234,0.00031822865468065506,-2.6386860203271434,2.795071248899559,3.720715814982971,-463.7491828429251,3148.5593223045225,2684.8101394615974,3.03828667980166e-309
0.02531808516423869,-0.04535394749575211,-0.1210392450235619,259727798957411.47,0.1879365483279221,2.013403528239471,-1.2319576501303398,4.393245964618155,-434.2711644522462,45.65377655795533,-388.61738789429086,1.910580539602256e-296
1.2518255883826075,-0.1546048729612827,0.17660466945372041,1205619135.4179296,0.0003197467945392111,-0.8581833032571913,-1.4497144101927593,3.7617444087379344,-419.46514383267316,3131.028094830033,2711.5629509973596,5.101929357039367e-290
