galaxies_lens_dark_centre_0,galaxies_lens_dark_centre_1,galaxies_lens_dark_mass_at_200,galaxies_source_bulge_intensity,galaxies_lens_mass_einstein_radius,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
-0.019782915634993316,-0.0999376249198653,91630638989.01108,925570.178103816,1.017963018177355,3.2762044357976414,0.777713407539725,2.3070932766305563,-1.513268747946686e+17,0.647395462463018,-1.513268747946686e+17,0.0
-0.0926410061170134,0.015589855996691946,205156889822211.62,208207.88337750366,0.5062467705957454,0.2937253258703487,-0.29490833614553935,1.8561410181220463,-6.534528357627764e+16,0.7250115117527791,-6.534528357627764e+16,0.0
-0.04445804279058526,0.15859301299196088,27836753900.59261,688871.4000316508,0.3483654047494241,-2.5942250783086007,-1.9993363003175748,1.255448009337589,-3.143514156174639e+16,2.0086216874422576,-3.1435141561746388e+16,0.0
0.03023223242631435,-0.13371847346312507,67626537272286.48,356977.1955593946,1.0471426922149671,1.349600658468293,0.695229019598961,1.2272350929396476,-2.5610329690965104e+16,1.1071868503790705,-2.5610329690965104e+16,0.0
0.05388548371286435,0.19320888238754863,250520877.3917094,500384.5477328748,0.7060053783572372,2.3145522237300984,-2.3554450742629385,1.2548596316658476,-1.321187221346342e+16,2.045827501518302,-1.3211872213463418e+16,0.0
-0.11598711490106617,-0.013389976023415118,334324655601736.5,294285.87772473844,1.0365786456690158,2.191575033433536,-2.6638540237944075,2.917940997788597,-8688846483850415.0,0.8343547782485697,-8688846483850414.0,0.0
0.04267795747822736,0.07403796308534402,108570825.25620358,872423.4058669899,0.835323081854443,4.701028208854158,-3.765382506005025,2.156205393768048,-2897867158339852.0,0.36678164423122334,-2897867158339851.5,0.0
-0.08783444609785405,-0.08824453641047908,233171617.77703953,344641.76863823447,1.0329705559827989,-3.4937560600581588,-0.7776696969660062,1.2106783483462276,-2496820041447838.0,0.9229671631482484,-2496820041447837.0,0.0
0.14167276249408467,0.011963628964753307,8263378378.224439,136867.9729127555,0.3696742564343013,3.0151193965740593,1.4014519406978563,1.5301168875478623,-2050552023723790.2,1.6043735116851758,-2050552023723788.8,0.0
0.09136380391638889,-0.12779516634122418,1276556884.1881766,79210.25102539064,0.2755586804815171,0.9117029582724054,-2.869732156011644,2.621539229812753,-2045236398896369.5,2.1070151990558035,-2045236398896367.5,0.0
-0.06088451353918333,0.142114216001812,58244897533.00289,110164.46798610789,0.5191786710115276,1.1036052269666357,-0.06567475149182567,1.6474582782806482,-1285519071575934.5,1.455431525594551,-1285519071575933.0,0.0
0.08814652106910041,-0.22135910663970776,2040902531092.747,738667.8024361539,0.8395947980872595,4.060698022286694,1.1722472136479496,1.1242761238586132,-1242316221264442.0,2.840769398513444,-1242316221264439.2,0.0
0.1469406126836032,0.046346561754014255,2454016698.09285,63874.95743023071,0.7824301229095219,0.8716749601671161,2.236095977036106,1.331316199075806,-565475035011591.1,1.189670293136371,-565475035011589.9,0.0
-0.09108576802461013,-0.040168106837698746,1824096965.7041218,117371.04418951678,0.5256868245032965,1.541080008745955,-4.84327640116176,2.690906075388722,-544543921120489.7,0.744332446576811,-544543921120488.94,0.0
-0.17540473336682685,-0.04365265576457057,120989610248868.84,59372.56000879675,0.6929260384181709,-0.5333140124227107,-1.8591929936844909,1.4180104101907802,-326543922737791.44,1.6767328035270124,-326543922737789.75,0.0
0.06744800951866119,-0.10420847430693674,177704315.35140532,130801.30041654354,0.8442836828205296,0.7285735953838337,3.5976000732597626,1.1158502407699327,-254775952730406.78,0.7735717754472057,-254775952730406.0,0.0
-0.02507355720680085,-0.08789210734537593,244767921327442.28,299635.82570775325,1.724387713979294,4.6991564117096445,-3.076283696358959,2.3895999341896603,-189426203942472.62,2.941082488844103,-189426203942469.7,0.0
-0.03588848832601854,-0.17858003381305487,204636106243.51166,485375.5445083106,1.2297895887892616,-4.0316754642780905,1.2126962089874436,0.8549954603246575,-173062070591166.56,2.1878489493329196,-173062070591164.38,0.0
0.04986318233308383,0.06332965401648284,10947866128901.473,298724.27807118575,0.9515918526813794,1.710043664921498,4.872450502502252,1.7671439761051264,-131544179848837.48,0.3838162261816691,-131544179848837.1,0.0
-0.07911396888004872,-0.07712680645027414,33925301305.849064,79999.13257824582,1.2481719311268584,-4.062140575513169,-0.23856724653968708,1.5670056580198297,-109585069876738.34,1.1868804524936283,-109585069876737.16,0.0
0.1515804194049669,-0.002690292275374811,659710166594.0559,481987.8189248206,1.3893009266034322,4.266835918016785,-4.2918971356789095,1.7826238081606098,-98737521063042.27,2.1592638852244685,-98737521063040.11,0.0
0.1404178108144612,0.03426271109083447,1986403756105.5737,29993.60782979953,0.6824214295260942,-3.098211188653597,1.7216557250236981,1.9982337976672797,-97539646652403.77,1.0956147044801947,-97539646652402.67,0.0
-0.15038681937450157,0.041288053530480755,138167577.01155812,163386.27886659367,0.8779338195151084,-3.1854968909140204,-2.27505292871884,0.9277232657994551,-72581271154721.98,1.229175388977803,-72581271154720.75,0.0
-0.11479839933168895,-0.028499697913955326,3785676577065.221,29451.96789426414,0.30738763956128323,-1.5421568487363935,1.1218242605601851,0.953122092572982,-61045620346154.36,1.4721312139060871,-61045620346152.89,0.0
0.07269555313519456,-0.039612171694717195,6951578242.769475,40578.88360113118,0.1753311909959665,2.184399737730132,-4.32742582913912,2.0329801840836526,-45755538753189.93,1.5723802208002802,-45755538753188.36,0.0
