galaxies_lens_bulge_elliptical_comps_0,galaxies_lens_bulge_elliptical_comps_1,galaxies_lens_bulge_intensity,galaxies_lens_bulge_sersic_index,galaxies_lens_bulge_effective_radius,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,log_likelihood,log_prior,log_posterior,weights
0.03833815496978758,0.32042999325644334,836071.8494267765,6.83443331072315,1.274953106977884,-0.1731205926206333,-0.20483074617374414,-2.668025086983543e+16,0.6149445228155241,-2.668025086983543e+16,0.0
0.16546963282636007,-0.14144413111105578,759901.2011073709,5.520599914887068,1.1863358081483037,0.20214025668428615,-0.6609627953359903,-1.480606691096826e+16,2.7844743633893936,-1.4806066910968258e+16,0.0
-0.5623140295105122,-0.19558163789824826,773646.0077946867,3.7066453761463274,1.3615009085734207,0.13407129746384716,-0.311706020457087,-1.2174101219509828e+16,3.3470754837507837,-1.2174101219509824e+16,0.0
-0.0014626188295266303,0.07018468501560693,450354.58295898774,6.5897190548049505,1.3035286021739882,-0.05051235421710765,-0.5126862824017798,-8608051476490262.0,0.09489968895747058,-8608051476490262.0,0.0
-0.20570197554926686,0.3213388466841242,396495.2957813734,4.403326277524278,1.258251586305104,0.2735357061885007,-0.4231909248627025,-3480727117036544.5,1.0148504227501374,-3480727117036543.5,0.0
-0.12826740126179692,0.06113383196354637,209363.9251158151,7.000838565774863,1.362073643850412,-0.13918613015475992,-0.42905027419881586,-2475333524489037.0,1.5113632167508178,-2475333524489035.5,0.0
0.42190299925158314,0.07461913770932585,359416.0523344658,2.2547053132463466,1.3301817955981665,0.3746819643487968,-0.37623865970191245,-1508273050503065.2,1.482323003931259,-1508273050503063.8,0.0
0.14104819237474406,-0.18545009270018734,232803.94953657678,4.232920561556085,1.3001657823524326,-0.14513096399407174,-0.2286075183208528,-1363300664759011.0,0.3443722173108804,-1363300664759010.8,0.0
-0.4060141633119771,-0.5846672438530286,402593.9679361488,2.3571076841192444,1.2119436160861865,0.2465491289237639,-0.5828011307158805,-1321730959404267.5,4.216994728365179,-1321730959404263.2,0.0
-0.02188691179988686,-0.11171860572879218,379934.8433273467,1.9675373135747733,1.2162682934795586,0.4919544193654413,-0.07372603748701012,-1236567472284742.8,1.317265506380564,-1236567472284741.5,0.0
0.03103564847685368,-0.19586243139462053,452138.5891703989,1.2259854639269747,1.2694587508334652,0.4410461379432869,-0.5467299051728416,-1199510713223478.8,0.2953741450213718,-1199510713223478.5,0.0
0.016136234188144704,0.4080848546515633,281193.8404989371,2.462581037679584,1.3744374861681106,0.11314914147555893,-0.3542700614187296,-1101070761855908.4,2.824980801859901,-1101070761855905.5,0.0
0.442552609184279,0.3431798764291084,250065.25708498794,2.688302297830351,1.3082057651229073,0.13576781568367857,-0.5434517497773963,-814295134635321.4,1.8536460718746373,-814295134635319.5,0.0
0.04229290252614673,-0.2462349349969537,125304.69610036188,6.490758716465422,1.311124595732182,0.40981634055090294,-0.05862649372966611,-689622509647621.1,0.4908873486889703,-689622509647620.6,0.0
0.09285738408760508,-0.07240899876204164,238952.51332742567,2.330373151512776,1.2982387979000967,-0.05563193786031356,-0.3109753349894537,-687026761056582.8,0.10816803294676378,-687026761056582.6,0.0
-0.016371936104644658,-0.14931463367090056,162146.78812767132,4.117813599455987,1.3015667867830305,-0.0010918827341386828,-0.3168276888157041,-605993020785741.8,0.1777576617866812,-605993020785741.6,0.0
0.2485170454551355,0.05813315385504456,119628.12532772082,3.4596426981433197,1.2924216054054751,0.21985635998285558,-0.5639089937105416,-271160626645012.3,0.36907757105639866,-271160626645011.94,0.0
0.031572368392185454,0.3798187620023214,57592.577189000236,6.741332070804378,1.263528023763857,0.035603748644870536,-0.5640806615614049,-148133028468544.22,0.9445121728998452,-148133028468543.28,0.0
0.24804618298979567,-0.08149700307193934,114731.66630247231,1.6360623956153402,1.2886428108283368,0.3484440765115728,-0.44921928864121896,-105903094115043.52,0.3793562598241449,-105903094115043.14,0.0
0.059614697265642405,0.08608218498881026,65255.83435597555,4.013298908436216,1.2483162318182035,0.008511166522021024,-0.0017679119914860708,-84939225299379.5,0.4338090470788918,-84939225299379.06,0.0
0.4127973030948745,0.5756147130552357,76950.5462084285,2.7613537588294106,1.3259358691919938,-0.016071646204778745,-0.2053002581150501,-72154224683399.8,3.1633414226130023,-72154224683396.64,0.0
0.4953805721171273,-0.1406157340538752,83448.62407304998,2.2372146837966693,1.2494109625887877,0.029187684011925452,-0.23741744938379977,-66494211195051.234,1.8253060080865222,-66494211195049.41,0.0
-0.31762140697166436,-0.20713111682460378,57865.30603375042,3.3931717782048283,1.3100805076504316,-0.12623828157739142,-0.33758092328831324,-61715420218768.016,0.9307052306501133,-61715420218767.086,0.0
0.2041147557616149,0.36482100139952955,34816.27952044459,6.247759426072668,1.2698423866727402,0.23842620727772262,-0.3372743164124687,-48123394413116.12,1.044482111225649,-48123394413115.07,0.0
-0.422952489949828,0.09712024845997559,30764.55618594081,6.098240354413839,1.2691685912274555,-0.14843985069395937,-0.12575445894988402,-32713140164408.688,1.1257172491675267,-32713140164407.562,0.0
0.11277282046326934,-0.2857493579511483,27550.53782551505,5.7675331671315355,1.2978287388729295,-0.05934090062438879,-0.5788921245207527,-25618895883478.832,0.5532096395900935,-25618895883478.277,0.0
-0.10728520070438725,-0.3113542908639382,18727.829932695262,4.192699848446381,1.3211966908115063,0.29133063707138324,-0.3549082359150788,-9044371516575.453,0.8924399128918439,-9044371516574.56,0.0
