galaxies_lens_bulge_mass_to_light_ratio,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,galaxies_lens_dark_mass_at_200,log_likelihood,log_prior,log_posterior,weights
0.005516200641190189,0.13468268461353822,-0.15505973303706053,979446933362672.0,-4507.967386142214,183.39334364119412,-4324.57404250102,0.0
0.012472176399190354,-0.024748755737681448,-0.12439000978188663,933010147162462.5,-4330.744816396852,80.98273706783598,-4249.762079329016,0.0
0.33831122552524295,0.010544493819510205,-0.09938669069827061,734733328212468.0,-3845.7230581375443,3.4553032019774075,-3842.2677549355667,0.0
0.23689628791943115,-0.15218959488589479,-0.06522696840127211,738647383139455.5,-3397.516956686014,5.592068030155342,-3391.924888655859,0.0
1.9168061564005413e-05,0.0021609411063738164,-0.1770398532316826,694946923111978.6,-3250.9316079730834,52171.68363472251,48920.752026749426,0.0
0.2573845469443472,-0.04089277586916525,-0.22142595639146687,417408785630104.25,-3031.7231849485324,6.420320800027605,-3025.302864148505,0.0
0.030144935309785886,-0.020059491983192956,-0.0141579211702215,878337196486899.9,-2904.951582003213,33.20320986617235,-2871.7483721370404,0.0
0.0006326923332617096,0.11168100536752726,-0.11619188108204338,765130109967072.1,-2865.2957694278284,1581.845708595804,-1283.4500608320245,0.0
0.00022235006332147763,0.049909239767134544,-0.026305926605239473,878362455272859.0,-2850.9666917332265,4497.571852870706,1646.6051611374792,0.0
1.5176879085755933e-05,-0.14931439565729013,-0.011819548452421383,964007265155985.8,-2850.8171453399264,65890.82107243106,63040.00392709114,0.0
1.7132474362701068e-05,-0.0597598529064357,-0.0011973851162979624,944816325803580.5,-2820.1245888154945,58368.86367179793,55548.739082982436,0.0
0.0005062326285846671,-0.18596662262905778,-0.0263528729854016,947678381913510.8,-2819.3811120677474,1977.1403277902386,-842.2407842775087,0.0
0.0005098720202735784,0.014327223634223705,0.017169019651730812,965733347868906.6,-2786.133933682906,1961.3014799287478,-824.8324537541582,0.0
0.000783977194455413,0.11274703561851097,-0.08629763041233926,792553666571226.8,-2771.570498444105,1276.5552668535524,-1495.0152315905525,0.0
0.04871284805955318,-0.060200299108450046,0.04296643372594413,911649008745614.6,-2728.0434890249257,20.801974595057416,-2707.2415144298684,0.0
7.356072891384319e-05,-0.07127338164554557,-0.02533352916438686,869702768553385.6,-2725.857449067902,13594.49613024507,10868.638681177168,0.0
0.0005695459195931966,-0.09428105691645651,-0.09196718254567225,766718448516597.9,-2715.30096508223,1756.6520237049713,-958.6489413772588,0.0
0.19235497081895472,-0.08655785051050215,-0.07760492588490164,574068665659154.4,-2685.6428729793815,5.874461203603296,-2679.768411775778,0.0
0.24074015847398408,0.09155602003732013,0.09471939109140969,962245480164633.0,-2626.714263755657,5.0215695932461095,-2621.692694162411,0.0
5.020741009574954e-06,0.03616048970565028,-0.014297935858508302,850074891475995.2,-2601.18508969263,199173.86251629962,196572.677426607,0.0
0.00047812870707496886,-0.046422840067457546,-0.14009146177857473,573614491558686.2,-2440.3503533725366,2092.5760868101966,-347.77426656234,0.0
1.8130439603261317e-06,-0.020859705591044816,0.06581038189774492,955833525655785.0,-2382.429205102091,551558.8446518492,549176.4154467471,0.0
1.6786757749982615e-05,-0.06529549969892764,-0.2323104576505941,489709521101142.25,-2353.8814679786283,59573.6765208269,57219.79505284827,0.0
0.03761618595167727,0.015681634454504857,-0.14377765811769228,522250225875916.06,-2338.6213138016137,27.630197170820495,-2310.9911166307934,0.0
0.0007223673667823238,-0.007612564142328162,-0.08122125527431359,679817614647701.2,-2322.601073270981,1384.6699173885252,-937.9311558824559,0.0
0.015499309037505486,0.11684635526615797,0.07681795586213008,926970361215530.1,-2318.015294431495,65.4967086291078,-2252.5185858023874,0.0
0.004906647859052707,-0.06582452915050818,-0.0558079365556792,699597084985769.8,-2305.886955385845,204.17749874715008,-2101.709456638695,0.0
0.0008504270638387982,-0.03994205435973877,0.012695697341471489,821615848196530.1,-2269.4034511679456,1175.967620670732,-1093.4358304972136,0.0
2.9722531567804423e-05,0.13852871180294,-0.09717960061947066,669560601368948.0,-2201.4512005928723,33645.941348709304,31444.49014811643,0.0
