galaxies_lens_bulge_elliptical_comps_0,galaxies_lens_bulge_elliptical_comps_1,galaxies_lens_bulge_intensity,galaxies_lens_bulge_sersic_index,galaxies_lens_bulge_effective_radius,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,log_likelihood,log_prior,log_posterior,weights
0.1537852486101114,0.13365332194062882,920555.3962683079,4.757964581896408,1.3068427095301716,0.27385153775385673,-0.22050820284258665,-2.4338850155497956e+16,0.328033336774135,-2.4338850155497956e+16,0.0
0.3285550669032415,0.0577672973755953,560779.8139027114,4.761157196828049,1.2942017490863005,0.12572100694021493,-0.37472325540213014,-8969192676358153.0,0.630977616820688,-8969192676358152.0,0.0
-0.1430339040477365,-0.2971983728597344,551752.2048153119,5.743478704208057,1.263484962692588,0.16055757610521998,-0.6942123627065485,-8791956199059619.0,0.7423698184825914,-8791956199059618.0,0.0
-0.3923960060611037,-0.028623522456499698,691747.3525588625,2.256682740964931,1.2785485630494702,0.09448841849657502,-0.6966763309689059,-5150247211213195.0,0.8779220323222203,-5150247211213194.0,0.0
-0.3710401467317565,0.12179297893553687,360821.48206860275,6.599390605649803,1.2247459798947378,-0.10911788535296102,-0.08753198973009446,-4165721886481886.5,1.8120696563059961,-4165721886481884.5,0.0
-0.28474501684600145,0.5613954118681183,298443.89074421546,5.979563784816599,1.2631804105371798,0.47485175529739804,-0.09729092547591278,-2535270509560694.0,2.3429561366903133,-2535270509560691.5,0.0
-0.232614950395165,0.05894611225798649,200203.75234989874,6.115192693356096,1.286392050333774,0.02526292660662341,-0.15348309694439755,-1507024515433845.0,0.32002485478674886,-1507024515433844.8,0.0
0.12187725598004488,0.5371897872061001,185018.35355482466,6.917450741988322,1.2877674805114343,0.42831499365263076,-0.6282325255207168,-1292054535261911.5,1.685839481330519,-1292054535261909.8,0.0
-0.14452169068141849,-0.41385232654232407,559664.6994783705,0.83061479561593,1.2644893043794885,0.188435502799494,-0.27325301832966614,-1249073990792463.2,1.1940485467013706,-1249073990792462.0,0.0
-0.4592229184143226,0.7132512261237882,231416.81928140973,4.1172901221918075,1.2413219667133233,0.26137068760982657,-0.4692106382328296,-750940750519890.0,4.517570568309321,-750940750519885.5,0.0
-0.10827789172785156,0.09721527458692947,258594.61062298983,1.3077037803414764,1.2786568525814532,0.11716302868151807,-0.1811607307505737,-422656317179810.7,0.13514194194979834,-422656317179810.56,0.0
0.5096590998741306,-0.38963486470060865,120576.27897705871,5.627839825396759,1.3107048634997618,-0.16224853925425947,-0.5093701958426616,-415663313686227.9,2.425615080319069,-415663313686225.44,0.0
-0.4560543903022542,-0.0371217298239201,219240.35351491018,1.6195692902361412,1.2995447994777969,-0.1279450210985032,-0.005116197953506263,-368067239007977.1,1.2019590225376406,-368067239007975.94,0.0
0.19029068008120273,-0.6497978256498979,204965.49120429752,1.8934523396642684,1.316902673268123,-0.18938917373777686,-0.5034233834324633,-343632446755117.9,2.7684979053044594,-343632446755115.1,0.0
-0.44241623398073976,-0.05628546557144226,146368.54869811723,3.259567926523176,1.2588481469245227,0.4216105211571078,-0.23473912234053923,-340555796649632.8,1.3026709548669877,-340555796649631.5,0.0
0.19266191402997615,0.2889790089533898,81098.77892488915,7.164352834489527,1.327618951296194,0.4867802728525035,-0.2294657547099429,-281738834377115.3,1.079326178511522,-281738834377114.25,0.0
0.6659164737963192,-0.04360585715224224,91301.72872423555,5.4919831845838685,1.277011177999644,0.33175687847513363,-0.5924886806520573,-213479771978591.16,2.4991940811500633,-213479771978588.66,0.0
0.10698582585060593,-0.4502714907048233,64924.5543053413,6.370811282361832,1.2543103414787584,0.39519423831458916,-0.28638171835299653,-123479977185500.12,1.4563592826595502,-123479977185498.67,0.0
0.1424197781732333,-0.16241033235399036,48038.954649770065,6.148162862097764,1.3034691590341094,-0.06978953275589853,-0.33561549735274016,-93511701278303.72,0.326279226255843,-93511701278303.39,0.0
-0.286052086257779,-0.22019371821134998,45248.92616443618,6.674537939449509,1.3247842920550719,0.2885478080297715,-0.40228105744208026,-80502499124117.88,1.077956356854801,-80502499124116.8,0.0
0.03703176805336453,-0.1524072877636044,69222.55285246854,2.7850290773436193,1.3059211290546606,0.4063276646758806,-0.56641006082314,-72611277397705.86,0.22522300424874336,-72611277397705.64,0.0
-0.45580672331839445,-0.20682464257964522,129057.49694320578,0.8729021518180953,1.2449879585651722,-0.1424582274597687,-0.11682273755990868,-65437172181383.78,1.8315969461496462,-65437172181381.95,0.0
-0.007467732531910286,-0.17140270969037258,89501.96133708583,0.9208979651184188,1.3083666964937133,0.4954878248610121,-0.42979519706537195,-39047843051214.64,0.27651590177066976,-39047843051214.37,0.0
-0.012221542326308628,-0.23421275962308727,37918.23095669695,2.474630451039897,1.3263630681507903,-0.16621823363644425,-0.11821384283691494,-19281522552394.297,0.689831871176102,-19281522552393.605,0.0
0.12458838184309742,-0.20963397561141572,27125.222126923873,4.054387501195665,1.2780778702345452,0.15449457727579624,-0.4164410594654819,-15879238322112.03,0.3504164662976998,-15879238322111.68,0.0
0.3297265244822704,-0.28084332055388384,17887.62232815125,7.689279244805034,1.2953993803259358,-0.13900373130810828,-0.2895246681235657,-12861789598521.941,1.0595760350328178,-12861789598520.88,0.0
-0.0505300231282954,0.10729275858971747,17248.175644706553,5.086662276912761,1.2968474003868113,0.004500469835952037,-0.5697729287773838,-8660305136697.423,0.10206982525540158,-8660305136697.32,0.0
