galaxies_lens_bulge_elliptical_comps_0,galaxies_lens_bulge_elliptical_comps_1,galaxies_lens_bulge_sersic_index,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,galaxies_lens_bulge_effective_radius,galaxies_lens_bulge_intensity,galaxies_lens_mass_einstein_radius,log_likelihood,log_prior,log_posterior,weights
0.3019879207679934,-0.133491471957426,-0.7881529949048285,-0.06904702158442821,-0.1419788562192107,2.6247769657404953,0.08115912009903153,0.5807321389451934,-1e+300,7.489493040494151,-1e+300,0.0
-0.13417747270509578,-0.1306802925416009,4.599266763182219,-0.13825956177533388,-0.08245803431979878,7.354169476749515,0.18769536685927718,1.4593164811503458,-35645.23389990508,4.022154704345731,-35641.21174520073,0.0
0.06546878450825193,0.15966589629019637,5.097180622632758,-0.11246566840435462,-0.030712953100485794,6.562799504856208,0.1874920482960521,0.687161732434208,-34005.44290910213,3.0558286199568845,-34002.38708048217,0.0
-0.14963817548111713,-0.2547896456009011,4.179167022702855,-0.14719989618376056,-0.04795967828418938,2.8207461430899734,-0.08257596562712852,1.0341221056747993,-16368.350612322585,4.2008580305459216,-16364.149754292039,0.0
-0.22971507186279538,0.3804184673910106,3.3959488526622126,-0.14176542152578223,-0.04057789171802028,5.3934871070866155,-0.04422978648828399,1.1267884517503437,-14451.527851033752,4.5368293654820455,-14446.99102166827,0.0
-0.22893574193715838,0.10326262602186256,3.1556995114162576,-0.0602016370330028,-0.06487464795221219,3.64106106155377,-0.05102329220846985,0.8926232967183378,-12503.745971167267,2.3342102617226845,-12501.411760905545,0.0
-0.20086386390226083,0.3711519005332968,4.01618613067383,-0.0762748597669948,-0.01887702461385738,2.459707235660511,-0.06670698379372059,0.6377006007920636,-12443.80015290841,4.918074428600472,-12438.88207847981,0.0
-0.23621690221130864,-0.14709099692095465,1.7099747215415886,-0.18678468962008937,-0.09249607242453475,5.0118709272163615,-0.0694656956383517,1.3574503403771199,-12258.541512144238,6.3940704160348485,-12252.147441728204,0.0
0.08236680206334424,0.12684473956556327,5.160561248328761,-0.09852332528315541,-0.13414395737535328,1.2467039648437894,-0.10729522168742095,1.0714067646284349,-11278.512514465729,3.6974608126207125,-11274.815053653108,0.0
-0.050586464244844156,0.2646576082310068,4.953131770907823,-0.045222715758972715,-0.13042635639735967,2.815930174811034,-0.028512959428475815,1.2761045684236016,-10696.718256284792,3.1643559843844455,-10693.553900300407,0.0
0.08392587978520634,-0.06935143900785612,5.528959451522951,-0.13479737451609386,-0.02010848858146906,6.067783139512628,0.1296658483874727,1.2544789420868714,-10432.097738289289,3.099862212673878,-10428.997876076615,0.0
0.04596334088477505,-0.14199468354430225,2.819579286617454,-0.07503472826571503,-0.06204755558511137,3.483194564603176,-0.024071730722545245,1.2713159898886115,-9585.584767290264,1.7392826552687652,-9583.845484634994,0.0
-0.18425839812622818,0.2908571114371661,4.168123760796276,-0.10942714993585134,-0.1212288649144681,6.458361879604071,0.16436631572408666,1.0820872201483138,-9423.102620384852,2.8335721687577853,-9420.269048216094,0.0
0.05932320832674229,0.011076974788277696,3.025206733802659,-0.04533130553526202,-0.10259746237299022,8.158445971926284,0.17841348998743728,0.6904068819383571,-8779.042278603221,3.0812143480933214,-8775.961064255129,0.0
-0.24476245071566793,0.05767098130522373,2.478229120827878,-0.12731707881182092,-0.11801096085013597,1.0046421913200991,-0.05656678712362692,0.980759104171862,-8651.384935232529,3.292709205043253,-8648.092226027486,0.0
0.1574120829388652,0.1632439527757829,3.282369049567746,-0.16777911066756157,-0.007046601572635425,0.8049761301684701,-0.049314360725075584,1.1421268884719997,-8420.532218414179,4.133003046549584,-8416.39921536763,0.0
-0.10392813644284389,-0.031119778955926526,4.7349474847461135,-0.04390835747755244,-0.08464343933202671,0.40510027228565804,-0.09430720900683243,0.849637870388201,-8268.49484826427,3.4195726860313607,-8265.07527557824,0.0
-0.10415312692684804,0.1604732071459551,7.465962697499472,-0.035692289770984105,-0.00720440776470456,2.327659022293139,-0.00024793379399183635,0.9712721430310002,-7819.7737057113245,5.848047919465109,-7813.9256577918595,0.0
0.25408724846147795,0.10950492104383155,3.5250959581920083,-0.03133172758591086,-0.1204252187605136,0.010783213672005854,0.029519488590267706,1.4779867897995413,-7796.4773577865335,3.4750154623841043,-7793.002342324149,0.0
-0.1892947145307054,0.02168114149377012,2.6305403420171167,-0.09708519285076463,-0.12807635931874234,0.9935298564356532,0.007789428707364196,0.6819253783712977,-7679.65204204808,2.5935595875168986,-7677.058482460563,0.0
-0.40334408794783827,-0.10742232327315387,4.014230213452145,-0.10738318290720886,-0.14699919747249054,0.2760838802089238,0.053951835166013096,1.0220123376525883,-7676.152808071117,4.249317189059186,-7671.903490882058,0.0
0.15243207290623348,0.13582121707309938,2.13905412888238,-0.16084717802864001,-0.09455061986745833,2.1215317358366694,0.006511756412360514,1.2031953816320968,-7581.543915934568,2.515967058323361,-7579.027948876244,0.0
0.04831709568351051,0.42649547827765333,2.2050725277247034,0.08212341521861044,-0.11052410048459099,2.0125313438028267,0.009094894006684534,0.8487587642080763,-7526.459517614334,8.747390566675644,-7517.712127047658,0.0
0.08711865517441102,0.24403192960004455,5.0085782096838685,-0.09254226256274789,-0.03710895978315837,1.0962333163903364,0.013265046766106584,1.172142530652888,-7488.543461321805,2.0119686061109947,-7486.531492715694,0.0
-0.03454199629845035,-0.0567390434109532,3.749306701878791,-0.003683876824186985,-0.07650253838301732,0.2673603520450305,0.14517685346206874,1.127517812494968,-7488.446982839944,2.1409825791939094,-7486.30600026075,0.0
