galaxies_lens_dark_mass_at_200,galaxies_source_bulge_intensity,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
882588495948842.0,623558.636367975,-0.6423205356622574,-0.809024423142723,3.2755084866194357,-8.310608554395675e+16,1.6036984212602425e-06,-8.310608554395675e+16,0.0
332082658477192.2,616795.842852675,-0.5540720774567216,-2.3609860989065377,3.229638481041261,-2.157236178992008e+16,1.6212820067534271e-06,-2.157236178992008e+16,0.0
734736213933945.9,228940.1712351553,0.4907044318484295,0.17487800135455212,2.998924858988143,-1.959432661235549e+16,4.367953404229997e-06,-1.959432661235549e+16,0.0
370291803175487.8,232135.56341718417,1.335134403941729,0.6037675804679461,4.584323189472871,-1.2171180980713314e+16,4.307827658572683e-06,-1.2171180980713314e+16,0.0
752145972176132.9,196495.36251400283,-1.0179727121818614,0.4319593019934924,4.703832701412528,-1.0761945888350364e+16,5.0891786323455e-06,-1.0761945888350364e+16,0.0
394971021314187.1,333811.18691536126,2.742797816655168,-1.22067000559122,4.585027983983722,-8814900023127086.0,2.9957054767571538e-06,-8814900023127086.0,0.0
317967886131044.1,308845.871010161,-0.15782998961512096,2.9392349022836743,4.459138802846951,-6736082837013562.0,3.237861000700934e-06,-6736082837013562.0,0.0
925987626221063.5,253638.277107947,0.2742026634743149,1.8193421123548452,3.010131443589958,-5467704245546994.0,3.942622587080249e-06,-5467704245546994.0,0.0
349574646997553.44,247606.5685840093,-0.16634223034744178,2.8235335868947447,4.688014653656797,-5216902204144645.0,4.03866507430324e-06,-5216902204144645.0,0.0
382419030815761.06,249587.22532373221,0.2668112220062042,-2.271782517866775,3.5293515780833564,-5120928210348796.0,4.006615319977148e-06,-5120928210348796.0,0.0
894551975782711.0,185514.07057360472,0.9486832840459103,1.4745835062312542,3.8695405390363464,-5043523478190318.0,5.390426705184183e-06,-5043523478190318.0,0.0
458318612455639.44,219912.32906358148,2.0396978509783485,-1.3137138527311407,3.980028396381376,-4503228843364057.0,4.547266652751889e-06,-4503228843364057.0,0.0
876763476001238.2,362149.5270927351,-1.3381257825740902,-0.9277199420488187,1.6941067109584536,-3000895627336594.5,2.761290366553438e-06,-3000895627336594.5,0.0
379867780116160.0,154950.91543420733,1.5760054828590722,0.36888971045783503,2.781792926147999,-2381102131253812.0,6.4536566151008685e-06,-2381102131253812.0,0.0
364601339055730.94,287874.2849752439,2.6059922716956097,2.9388008109839596,3.972561404393628,-2016497669062182.8,3.473738548323464e-06,-2016497669062182.8,0.0
887956951263466.8,208514.92944938547,0.27943031348780645,-2.3496140764071596,2.4165975389068195,-1085034687482224.9,4.795819670445054e-06,-1085034687482224.9,0.0
390045759726965.44,368552.8380331162,1.4454352960612749,-1.4709803943936295,1.2672357001308787,-758504192177359.6,2.713315155247948e-06,-758504192177359.6,0.0
411981768733151.0,89834.31617648783,-1.03189619506309,-2.691263824292683,4.920929731783328,-743910944027801.9,1.1131603631884519e-05,-743910944027801.9,0.0
659448774960547.0,95266.36999626184,2.821752426091619,0.924185171225365,4.446963844023127,-659156275756430.2,1.049688363463101e-05,-659156275756430.2,0.0
642911415499731.2,65538.82594077653,0.12001540344575279,2.0305146526886713,4.721757746276633,-654823472574948.8,1.5258131126816037e-05,-654823472574948.8,0.0
323370033947303.4,520851.8933251774,1.3641988273562564,-1.9356551971145224,1.2157335440098143,-649468436902758.2,1.919931585976555e-06,-649468436902758.2,0.0
511322573332718.0,68098.88138512771,1.0371111437772509,0.4512543840974965,2.2179343600309016,-579581870503864.9,1.468452902299177e-05,-579581870503864.9,0.0
997086129010377.4,373789.64613256964,0.23193297847022176,2.5150967864890177,1.6080166517292005,-486132374886004.1,2.6753014983732812e-06,-486132374886004.1,0.0
796275489642110.1,34511.920011507995,0.23762429943869234,0.18023267465908877,1.8789428327786535,-458834824768138.7,2.8975495994134544e-05,-458834824768138.7,0.0
836545669744438.5,203977.31900490503,-0.03269167569528619,-1.9318094042766778,1.5258370980129827,-406924345729867.56,4.902505852720743e-06,-406924345729867.56,0.0
525080401004576.06,113732.04760829922,-0.29052484198401984,2.89087641079177,3.160592409227058,-384599386336576.7,8.792596469032775e-06,-384599386336576.7,0.0
711891834204340.6,44300.23741515084,-0.7823474952134077,-1.0187907485458576,3.199917641321031,-315932329245453.44,2.257324245671481e-05,-315932329245453.44,0.0
349482631897393.44,58220.15631751621,-2.623831428342065,-0.46470171192380594,4.279827404918485,-252607822717651.9,1.717618198606121e-05,-252607822717651.9,0.0
528450082172046.6,87852.49803812598,-0.3627478581026038,2.824906460352455,3.0019669524504744,-208027070231165.62,1.1382715602830877e-05,-208027070231165.62,0.0
622719377007362.8,178431.41357911105,2.1456439328804855,0.3061072297565888,1.5013504293258224,-198614509583778.1,5.604394317277357e-06,-198614509583778.1,0.0
429442008954745.06,679424.632186136,-1.8593755354727497,0.6719839708649387,0.8591032279551497,-150521773939582.1,1.4718335989151318e-06,-150521773939582.1,0.0
943896399700068.4,19634.034397225358,0.014477663569063104,-0.32522453676984586,1.4437294133073437,-113875775343894.88,5.093196740870124e-05,-113875775343894.88,0.0
946306499749368.5,19267.251123991686,-1.189235808282233,-0.14820012896845203,4.267322078208059,-88506026839520.7,5.190153974664061e-05,-88506026839520.7,0.0
660940309611261.2,27084.964229018038,-1.4499442090697179,0.9827487658013081,3.490419709910845,-82967203788716.38,3.6920853636188624e-05,-82967203788716.38,0.0
523969150861848.75,15905.348357793622,0.7479187322597309,-0.6475715514946483,3.982714515457042,-77002176533895.39,6.287193323498353e-05,-77002176533895.39,0.0
350982369631088.4,36727.14409558468,0.8127478982201093,1.9677896898003464,2.79077876977521,-70508988013105.77,2.7227818136419176e-05,-70508988013105.77,0.0
342358063584271.75,42363.60085825785,-2.0952562892848547,-0.2772544181948806,2.5178376710799677,-62186995920825.836,2.360517000123734e-05,-62186995920825.836,0.0
388965027155540.0,52165.080140186394,-2.704456480082461,2.9997019108271443,3.974078054687279,-56183503238526.71,1.91699120838452e-05,-56183503238526.71,0.0
545833578088800.8,294498.87871181493,-0.9427137302188484,-2.6342602354925755,1.3132577503957787,-52375200541116.89,3.3955986688767684e-06,-52375200541116.89,0.0
525964010276120.8,13195.63493088996,-0.060183344926856286,-1.3851766059730064,4.87971941673348,-44545404013803.586,7.578263609613554e-05,-44545404013803.586,0.0
431135837642954.6,67091.62709244154,-1.3058747298210367,1.0631419122677883,1.1179044163363794,-21209796391962.535,1.4904989541806397e-05,-21209796391962.535,0.0
567336339320572.8,12361.947591223632,-1.1761707747182604,0.05875711338107159,2.5675839415551533,-18830637805980.88,8.089340232535363e-05,-18830637805980.88,0.0
