galaxies_lens_mass_intensity,galaxies_lens_mass_effective_radius,galaxies_lens_mass_sersic_index,galaxies_lens_mass_mass_to_light_ratio,galaxies_source_bulge_intensity,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
2.537158529660256e-06,0.0006997709700353983,1.3819271887605984,2677.668831413091,969817.1359397675,-0.8546586445429516,-2.1338624273941855,4.332685231550355,-6.072391679317738e+17,395570.74880390725,-6.072391679313783e+17,0.0
3.0337594012661336e-05,0.008041140538722845,4.945621298045415,16.95003783780428,839477.2270296178,-1.7797800742204162,0.7776611048911573,4.304650505603657,-4.7488253538650515e+17,33086.82246946591,-4.7488253538647206e+17,0.0
3.0367252538882505e-05,7.533402738741525,4.531185024609763,81.93658136792322,679253.2993472882,-0.17529730236618368,0.7514151626822883,3.8813731488299137,-2.6164087367348163e+17,32930.35484185999,-2.616408736734487e+17,0.0
0.003437034306386736,1.1176032874051642,7.966130025351841,0.000773480328727116,519431.02865860757,-2.5890969853608894,-1.1923876456595173,4.170846641030423,-1.521448710733119e+17,1584.700982384286,-1.521448710733103e+17,0.0
1.233094878695173e-05,24.257016201452423,4.975373884327108,1560.1599286516164,937367.1664740558,-1.2686677654975742,-1.80767194965507,2.1292123712563527,-1.501830892977206e+17,81096.8023255945,-1.5018308929763952e+17,0.0
1.0168996903413199,0.00031091405523006745,2.654978134485526,0.004860103116244397,975253.4924135933,2.17519928518199,-2.9490408556943652,2.3072525155251737,-1.0944776954221248e+17,3423.063247057071,-1.0944776954220906e+17,0.0
5.396869311247097e-06,14.044913908301377,5.048431482354015,0.00047397255526523074,506322.375187085,-2.654901359048226,-2.2396271326200017,3.0371844495431426,-6.640642371822365e+16,187402.50790857204,-6.640642371803625e+16,0.0
9.972196637696057e-05,0.0004516176310647137,4.0787803727021945,155982.36408316626,957870.4259541703,2.063155836797982,-0.779136245230279,0.9996255088670103,-4.7631413433408984e+16,12242.143421625933,-4.7631413433396744e+16,0.0
0.006868920646303243,0.0002806248984963265,4.747419885763863,0.1923055753222893,388686.42874836706,1.4001294707552274,-0.09387085991733102,2.4854194403049745,-3.9115811235478456e+16,3714.2590166019068,-3.9115811235474744e+16,0.0
3.6437304546764506e-05,0.15044679855162058,0.8872939831777189,185080.14695268997,217425.94340216406,1.8808822444607038,-1.6862718682136144,4.5112467130509915,-3.1029169114317104e+16,27451.047950916854,-3.1029169114289652e+16,0.0
0.0005970022843798637,0.0003257600712241377,2.5589632086185126,0.0003257894916417079,695306.1484086432,-1.3463821651716514,2.446514221974871,1.0559688792190502,-2.7966342341093184e+16,7814.246107035906,-2.796634234108537e+16,0.0
0.5765784371778698,0.391014800802844,2.5337313056641833,0.029728114424336136,685393.8417072588,-0.8075989477222292,-1.8909883998265344,1.009372703758284,-2.393560525094809e+16,37.93001011056299,-2.3935605250948052e+16,0.0
2.0125070083166554e-06,0.07514338972328008,1.4124807842662086,248083.48275047907,780111.1581466718,1.2992975721101079,2.330814875950229,0.8235878403964036,-2.024604189608771e+16,496905.9874578987,-2.024604189559081e+16,0.0
3.5923372504132725e-05,0.0001052725180211032,5.505933090320305,0.0014850287512492314,195758.42692567786,2.3149149970947356,-2.1144392516224366,4.296414566078335,-1.8735621009543124e+16,38009.57301760763,-1.8735621009505116e+16,0.0
1.9407766106974267,0.0008025640365315489,7.136669254202385,3.0397781847863944e-05,191422.75092884427,2.019044451145245,2.0990101283854212,3.513396657162857,-1.5661337516840838e+16,34143.65895435284,-1.5661337516806694e+16,0.0
9.08087636824038e-06,0.005608518219723002,2.4924682605520108,387.3490984933652,203135.58999243935,2.334879371271837,1.2231027026650239,3.0185395793963092,-1.5133535737431704e+16,110299.83286559678,-1.5133535737321404e+16,0.0
5.696575273878213e-05,0.17734212226108179,6.31611906540067,10.386346627021126,178179.8166646888,-1.1314394847276714,1.959234475386613,3.3979885000899857,-1.5019468364460804e+16,17560.141952498863,-1.5019468364443244e+16,0.0
0.00010549264321297102,1.4788733092326578,1.7030549407686528,5.062847592999889,479714.1227967197,-0.9889985351994741,0.04022829333104827,1.6104397270384785,-1.4720478272349774e+16,9480.20771401576,-1.4720478272340294e+16,0.0
7.659350740336739e-05,0.00022139444669918836,2.9545472909622723,3903.205587394882,149123.84448276824,1.5413963995159614,0.45382603676235966,3.860993889196619,-1.2679489566861802e+16,17572.762295794488,-1.267948956684423e+16,0.0
0.7811494266238517,0.001907603196294594,1.376319826911419,328.01550053655666,187615.59072298656,-0.36866407569150894,-0.8634261163143497,3.138176580132832,-1.2586391645510504e+16,525.5012542277439,-1.2586391645509978e+16,0.0
9.083396416992969e-05,27.07021451641984,6.920565895393344,0.00406021520704254,191821.08295412068,-2.890147791105503,2.8917054559217927,4.0810777509327725,-1.1523971683138738e+16,11255.427163618833,-1.1523971683127482e+16,0.0
2.902517401283762e-06,0.0022291102750707694,3.3586179845377453,8.674740390976134e-06,121418.72745098722,-1.1109560608970575,2.519065436706623,4.591368606436861,-9861511808277262.0,460254.3460487133,-9861511807817008.0,0.0
0.4646282473689832,0.1990386985474234,4.136704531639063,0.00037394671146241806,106939.53760410302,-0.433069049101229,-2.446281427440419,4.565248938270967,-7593559732283840.0,2681.354231828878,-7593559732281159.0,0.0
2.899374258281425e-05,0.0002588151797666609,5.15107990871387,0.00011005230736382276,106762.2428724132,-0.31043565242831006,2.9069642993965035,4.517059086940564,-7082148313345190.0,47440.54991582942,-7082148313297749.0,0.0
