name,KIDS_ID,RAJ2000,DECJ2000,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0
galaxy_160.33126_-0.0712.fits.png,KiDSDR4 J104119.501-000416.30,160.331257,-0.071195,19.343,0.00651287,0.67,0.63,0.69,5.2,2.857,0.986,0.513,0.0
LRG_9.10058_-32.1335.fits.png,KiDSDR4 J003624.138-320800.62,9.100576,-32.133508,17.2494,0.00451941,0.49,0.46,0.51,5.4,3.499,0.905,0.489,1.0
LRG_0.29259_-35.2594.fits.png,KiDSDR4 J000110.222-351533.95,0.292592,-35.259432,18.1072,0.00350585,0.43,0.39,0.45,5.4,1.96,0.896,0.484,0.0
LRG_357.89183_-29.4121.fits.png,KiDSDR4 J235134.038-292443.69,357.891827,-29.412137,19.9878,0.0124413,0.5,0.46,0.52,6.2,1.6,0.779,0.483,0.0
LRG_30.70744_-33.01.fits.png,KiDSDR4 J020249.784-330036.05,30.707435,-33.010014,19.3585,0.00524981,0.46,0.43,0.48,4.8,2.857,0.999,0.48,1.0
galaxy_231.97569_2.7634.fits.png,KiDSDR4 J152754.166+024548.06,231.975694,2.763352,18.8391,0.0055964,0.34,0.31,0.4,4.8,2.857,1.0,0.48,1.0
LRG_12.49171_-27.7429.fits.png,KiDSDR4 J004958.010-274434.53,12.49171,-27.742926,17.3463,0.00168666,0.27,0.23,0.29,4.8,2.857,1.0,0.48,1.0
LRG_333.34566_-28.9133.fits.png,KiDSDR4 J221322.958-285447.91,333.34566,-28.91331,18.8892,0.00660686,0.63,0.59,0.66,4.8,2.857,1.0,0.48,1.0
galaxy_332.52272_-27.4726.fits.png,KiDSDR4 J221005.452-272821.41,332.522719,-27.472615,18.801,0.00679577,0.32,0.29,0.34,4.8,2.857,1.0,0.48,1.0
LRG_34.64458_-29.095.fits.png,KiDSDR4 J021834.699-290541.91,34.64458,-29.094977,18.3399,0.0039584,0.54,0.5,0.56,4.8,2.857,1.0,0.48,1.0
galaxy_31.803_-31.7773.fits.png,KiDSDR4 J020712.720-314638.21,31.803004,-31.777281,18.6825,0.00330743,0.63,0.6,0.65,4.8,2.857,0.998,0.479,1.0
galaxy_336.12503_-32.0076.fits.png,KiDSDR4 J222430.007-320027.37,336.125032,-32.007604,19.7425,0.00961416,0.74,0.71,0.77,4.8,2.857,0.995,0.478,1.0
galaxy_177.06416_-1.1526.fits.png,KiDSDR4 J114815.397-010909.34,177.064158,-1.152595,20.3031,0.00865978,0.32,0.29,0.34,4.8,2.857,0.996,0.478,1.0
galaxy_14.10541_-29.7121.fits.png,KiDSDR4 J005625.297-294243.71,14.105407,-29.712143,17.9763,0.00199915,0.59,0.56,0.61,4.8,4.069,0.995,0.478,2.0
galaxy_349.22887_-32.8476.fits.png,KiDSDR4 J231654.929-325051.29,349.228873,-32.847581,19.1206,0.0063029,0.42,0.39,0.44,4.8,2.857,0.994,0.477,1.0
galaxy_38.34644_-31.8493.fits.png,KiDSDR4 J023323.146-315057.51,38.346443,-31.849309,19.0546,0.00920658,0.57,0.53,0.6,4.8,4.069,0.993,0.477,2.0
galaxy_13.28337_-34.1136.fits.png,KiDSDR4 J005308.009-340648.96,13.283375,-34.113602,19.3274,0.00504314,0.44,0.41,0.47,4.8,2.857,0.991,0.476,1.0
galaxy_230.82321_2.2734.fits.png,KiDSDR4 J152317.569+021624.41,230.823206,2.273449,19.7167,0.00785797,0.5,0.45,0.53,4.8,2.857,0.992,0.476,1.0
galaxy_182.57383_-2.5036.fits.png,KiDSDR4 J121017.719-023013.12,182.573831,-2.503647,19.1443,0.00510212,0.47,0.43,0.49,4.8,2.857,0.989,0.475,1.0
LRG_23.52703_-34.1526.fits.png,KiDSDR4 J013406.487-340909.20,23.527033,-34.152556,18.2671,0.00390142,0.45,0.42,0.47,4.8,2.857,0.985,0.473,1.0
galaxy_47.87629_-29.8363.fits.png,KiDSDR4 J031130.310-295010.64,47.876293,-29.83629,20.4881,0.0212352,0.29,0.26,0.52,4.8,2.857,0.983,0.472,1.0
galaxy_38.92722_-34.1527.fits.png,KiDSDR4 J023542.533-340909.85,38.927223,-34.152738,20.1802,0.00940729,0.45,0.42,0.48,4.8,2.857,0.984,0.472,1.0
galaxy_2.90909_-31.0788.fits.png,KiDSDR4 J001138.181-310443.84,2.90909,-31.078846,19.0269,0.00486714,0.62,0.59,0.65,4.8,4.069,0.98,0.47,2.0
LRG_231.11631_0.5617.fits.png,KiDSDR4 J152427.915+003342.29,231.116314,0.561748,18.0608,0.004714,0.43,0.4,0.45,4.8,2.857,0.977,0.469,1.0
galaxy_219.72969_-0.5973.fits.png,KiDSDR4 J143855.125-003550.15,219.72969,-0.597266,18.2356,0.0034342,0.39,0.36,0.41,4.6,1.96,0.998,0.459,0.0
galaxy_333.96948_-27.8877.fits.png,KiDSDR4 J221552.675-275315.66,333.969481,-27.887685,18.8756,0.00375098,0.34,0.31,0.36,4.6,1.96,0.996,0.458,0.0
galaxy_352.53356_-31.1995.fits.png,KiDSDR4 J233008.055-311158.32,352.533564,-31.199535,19.064,0.00458144,0.61,0.57,0.63,4.6,3.499,0.991,0.456,1.0
galaxy_173.6889_2.0863.fits.png,KiDSDR4 J113445.335+020510.50,173.688898,2.086251,19.1739,0.00671944,0.55,0.52,0.58,4.6,3.499,0.985,0.453,1.0
LRG_176.17205_0.5021.fits.png,KiDSDR4 J114441.292+003007.45,176.172051,0.502071,19.1674,0.00626357,0.43,0.39,0.45,4.6,3.499,0.978,0.45,1.0
LRG_129.73721_2.1475.fits.png,KiDSDR4 J083856.929+020851.17,129.737206,2.14755,18.7011,0.00451473,0.43,0.39,0.45,4.6,1.96,0.972,0.447,0.0
galaxy_11.55917_-31.3408.fits.png,KiDSDR4 J004614.201-312026.85,11.559175,-31.340792,19.2696,0.00525818,0.58,0.55,0.6,4.2,3.429,0.999,0.42,2.0
galaxy_194.53463_0.5064.fits.png,KiDSDR4 J125808.310+003023.15,194.534628,0.506431,19.5258,0.0066041,0.38,0.35,0.41,4.2,3.429,0.996,0.418,2.0
galaxy_193.967_1.0809.fits.png,KiDSDR4 J125552.080+010451.20,193.967004,1.080891,18.6913,0.00328752,0.28,0.25,0.3,4.2,3.429,0.995,0.418,2.0
galaxy_5.10947_-34.5259.fits.png,KiDSDR4 J002026.272-343133.23,5.10947,-34.525899,19.0128,0.00362324,0.31,0.28,0.33,4.2,3.429,0.992,0.417,2.0
LRG_44.01895_-31.9685.fits.png,KiDSDR4 J025604.548-315806.56,44.018952,-31.96849,19.5767,0.00855209,0.49,0.46,0.51,4.8,2.857,0.863,0.414,1.0
LRG_170.4382_2.8854.fits.png,KiDSDR4 J112145.166+025307.33,170.438195,2.885372,19.4444,0.00583828,0.62,0.58,0.64,4.8,2.857,0.861,0.413,1.0
galaxy_214.20758_1.6395.fits.png,KiDSDR4 J141649.819+013822.23,214.207581,1.63951,19.209,0.00586216,0.58,0.54,0.6,4.0,2.683,0.999,0.4,1.0
galaxy_333.34632_-28.9137.fits.png,KiDSDR4 J221323.117-285449.37,333.346321,-28.913715,20.5023,0.01498,0.79,0.76,0.82,4.0,2.683,0.999,0.4,1.0
galaxy_175.30418_0.2697.fits.png,KiDSDR4 J114113.002+001610.81,175.304178,0.26967,18.8349,0.00533503,0.6,0.55,0.62,4.0,2.683,1.0,0.4,1.0
galaxy_17.08464_-30.5712.fits.png,KiDSDR4 J010820.314-303416.39,17.084643,-30.571221,19.8713,0.00987697,0.58,0.55,0.61,4.0,3.95,1.0,0.4,2.0
LRG_224.62555_0.1031.fits.png,KiDSDR4 J145830.131+000611.08,224.625549,0.10308,18.3303,0.00307875,0.54,0.5,0.57,4.0,3.95,1.0,0.4,2.0
galaxy_217.6782_0.7445.fits.png,KiDSDR4 J143042.767+004440.22,217.678198,0.744506,18.9703,0.00523834,0.41,0.37,0.44,4.0,2.683,0.998,0.399,1.0
galaxy_351.15703_-34.2694.fits.png,KiDSDR4 J232437.687-341609.90,351.157033,-34.269418,19.7903,0.00672734,0.45,0.42,0.47,4.0,3.95,0.998,0.399,2.0
galaxy_17.58423_-28.9879.fits.png,KiDSDR4 J011020.214-285916.57,17.584228,-28.987938,19.7768,0.00833547,0.7,0.67,0.73,4.0,2.683,0.997,0.399,1.0
LRG_342.38931_-32.7697.fits.png,KiDSDR4 J224933.434-324610.97,342.389309,-32.769714,19.258,0.00700533,0.42,0.39,0.45,4.0,2.683,0.998,0.399,1.0
