galaxies_lens_dark_centre_0,galaxies_lens_dark_centre_1,galaxies_lens_dark_mass_at_200,galaxies_lens_mass_einstein_radius,galaxies_source_bulge_intensity,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
0.1222482988642896,0.09218608839384909,859825422.843712,1.0270708457748607,657885.1459135712,-0.49655802877158894,1.6297124042103608,2.655841081987771,-3.9343765272381555e+17,1.1721475946137472,-3.9343765272381555e+17,0.0
0.05084889692828339,-0.119318569757877,392956242910.7324,1.320422371956917,385234.8393901033,-0.6541981726828228,0.09069529868270898,1.3608378572662443,-9.78855110907664e+16,0.8411291662161913,-9.78855110907664e+16,0.0
0.003562542430918843,-0.03784177425083378,113862275588996.78,1.2624788960763667,237082.12063674044,1.2811730887717658,-1.6033094363360134,3.7977224515534527,-8.230151331207928e+16,0.07223879729892832,-8.230151331207928e+16,0.0
0.027864227990756864,0.1657114335486633,32747660087.77759,1.5287859071887002,893871.2325265893,-3.9464013048054047,-1.972663624710905,3.10029209840093,-8.069245349492e+16,1.411835839273602,-8.069245349492e+16,0.0
0.004160938056480807,-0.005883671130296094,1010738400657.8724,1.7821380008322114,253845.16512676422,-0.8880966409019928,-2.055196939115065,3.3376546523547708,-6.9227375110070616e+16,0.0026004889842400915,-6.9227375110070616e+16,0.0
-0.011262935002151926,-0.08813974449720523,416090413551.4052,1.9046181313514698,937888.8704354105,3.837257661243953,-2.047480874882477,2.8609667766336235,-6.004618894564609e+16,0.3947744794715711,-6.004618894564609e+16,0.0
-0.08701531438699735,0.011835330500480232,25291854337.83564,1.0293844681867808,652898.5316467048,4.85858075903295,4.652023169685652,4.704321625110964,-3.325576851970629e+16,0.38558853096728296,-3.325576851970629e+16,0.0
-0.08982445776981648,-0.014741481412168352,1897782080005.0457,1.7009103386566133,822474.1365731106,-2.5015114601838517,-2.823810996316353,2.085563694269281,-2.3569117515748904e+16,0.41428844023757255,-2.3569117515748904e+16,0.0
-0.07561676106339357,-0.06295178549607047,431733773.0063729,1.7107183800025192,898161.1268365108,-2.7918273775486813,0.19792363591031314,1.094217408930731,-9533611056895054.0,0.4840422082452962,-9533611056895054.0,0.0
0.0395669113088467,-0.06804978356667853,2656046999507.71,1.2360662219538936,407816.35569005174,0.9755616722930913,-3.280369001110599,1.7324266870112393,-8517707057107986.0,0.30981812778416934,-8517707057107986.0,0.0
0.02086957410254231,0.06017802840971251,89650198670.29388,1.4289592595896776,161736.09884079514,-3.844496458023734,4.811045230709341,4.987847383499805,-3520069339504095.5,0.20285289424782765,-3520069339504095.5,0.0
-0.04582421416467294,0.008593597843718869,166447611.74676225,1.8743182013582738,95401.18931004031,4.25034083438873,-1.557665710957632,4.752443761922348,-3427414284108863.5,0.10869591444298378,-3427414284108863.5,0.0
-0.03666527055887292,-0.071067236313617,587069167676.6042,0.9578996848190431,354117.911669402,4.471555707048164,2.7114649406312017,2.616694619215556,-2396798290426660.0,0.31974753104040077,-2396798290426659.5,0.0
0.146660031367019,0.03557438761094984,110013726293.00198,1.915340847269423,97450.34125277607,3.1364787667466736,2.4298357770643886,3.4663719876636496,-1688866224126835.5,1.1387453543692625,-1688866224126834.2,0.0
-0.16530144985888456,-0.0541730104490253,54066024870.03229,0.92031902562875,49303.28353780741,-3.486294256697031,-0.6581530766241963,4.037336934153991,-1411916261370803.8,1.5129845019712438,-1411916261370802.2,0.0
-0.13337577681755666,-0.11191224130717126,2116694586135.3262,1.1983645564421481,62238.840700712055,-4.350012903286268,0.9111920276531933,4.044838616208865,-921993859998153.5,1.5156884469418503,-921993859998152.0,0.0
-0.022114016896050734,-0.012471084537842965,252350142085.07922,0.8240280115089013,93801.94502870677,4.3461896643028055,-3.135552723659715,3.591529310651642,-908969961752074.9,0.03223854540515455,-908969961752074.9,0.0
0.04933516796248554,-0.028223781053027593,1216598896.5485373,2.0103221983340998,494671.665693695,-3.003749774694163,-4.123941301425899,1.8442386879981731,-425287414169223.1,0.16152905310567142,-425287414169222.94,0.0
-0.04168481904370041,0.0060700997930631705,238200116726.87524,1.107377842332951,17329.967050769832,1.173463933088649,-0.0198268837980784,2.7268051786835317,-405349524424102.8,0.0887812160285994,-405349524424102.75,0.0
-0.19084185861942718,0.15556835617636258,183063535.956186,1.6156103947449614,34573.40569814235,-1.3486513304984693,-3.1641484940161604,3.158039791081076,-394684725034974.75,3.0311353516649198,-394684725034971.75,0.0
-0.12444986156610235,-0.18189618983476358,184426964032.34702,1.9030305543558947,428272.61562894686,1.2434148116442874,4.72964201872629,1.7674558401232354,-195889799899936.47,2.42870193097808,-195889799899934.03,0.0
-0.15917028385594545,-0.11560146880163831,13204181510.110092,0.9187488442094298,247349.2475055457,3.963492496932121,-3.8347932448219355,1.7904693822154134,-163207101033708.88,1.934947985536208,-163207101033706.94,0.0
0.04096260994666469,-0.04468147798461207,11596661496910.79,0.7009113947034036,29879.28092072807,2.155348326700932,3.6294480818438313,2.6114982012440913,-50016840867740.76,0.18375196243425312,-50016840867740.57,0.0
-0.02507670477592205,-0.2001848583843987,497161533815101.7,0.581061794385301,15134.369472349837,-3.522074021883934,-3.428006039273402,4.109175751899542,-38007880241451.23,2.0352070072112176,-38007880241449.19,0.0
0.13178201769320544,0.05102741484720554,3737275436.802545,0.6801718916265326,9374.669884960362,-4.549644342629699,-0.8363330613097624,4.261630699549728,-28447606709993.35,0.998621533354405,-28447606709992.35,0.0
