galaxies_lens_bulge_mass_to_light_ratio,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,galaxies_lens_dark_mass_at_200,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,galaxies_source_bulge_intensity,log_likelihood,log_prior,log_posterior,weights
0.00021599536556798828,-0.04374486104416902,-0.15721818178152913,913274163724316.2,-0.49921132240158883,-0.04336826450535991,4.525594807315522,2.652345402114653,-840154.9350548424,4631.060522200278,-835523.8745326421,0.0
1.339301518614279e-06,-0.1206417404985777,-0.03608916003478405,465601222400483.8,-0.2368441227572724,-0.2216108554495877,3.8311770647332484,2.426314790218517,-607374.9440813721,746658.6485247139,139283.70444334182,0.0
1.0396923771153452e-05,-0.1138810923076094,-0.21182457648282632,724706634222374.0,-0.16737728747580505,-0.1313585229114138,1.168956856504636,2.8733429064132125,-545728.2300536658,96185.18796171811,-449543.0420919477,0.0
0.047496172514353646,0.08312666545545645,0.017608580524584055,341641984989422.9,0.3445209352226817,0.9805674872170185,2.8989175908603744,2.469101256057974,-317031.8094587055,21.415333339073346,-317010.3941253664,0.0
0.014531735310736493,0.05541473515571469,0.0513196065857228,959729887587105.1,-0.7822846462272377,-1.0358224618010983,3.0398147610056228,2.8226175564503566,-313140.28167437407,69.10013078417852,-313071.1815435899,0.0
0.2903850142722346,-0.12987741597064198,-0.022851440302065915,185203511526830.34,1.0876252708951615,-0.6597874908907793,2.971863621562693,2.622774727878697,-272516.30338398425,4.313220453972802,-272511.9901635303,0.0
0.3397485069211186,0.22390304552877352,-0.11530648464243624,296447413418936.8,0.3432021838189758,0.2795891798032186,3.9717742929025226,1.5483034698330458,-249330.10588484397,6.114761586546961,-249323.99112325744,0.0
0.7389289093496472,-0.048634215611796185,-0.17313521899270995,276843058341.39795,1.9134993375915323,-0.3121338327036156,4.599332203987352,2.3938789101047284,-240637.35703521437,2.970364708463433,-240634.38667050592,0.0
0.29423154138412,0.13481866082037838,0.1404872825820809,141437424401888.66,-1.1018628968414443,0.7744667454481657,2.397115703358352,2.7748486531101406,-216381.6482186452,5.294321284885345,-216376.3538973603,0.0
1.3896218292026359e-05,-0.018800366169413493,-0.06032531783183948,866710877286260.1,0.6310175471352757,0.452198784008099,3.6512662845595663,1.626677908639888,-212405.81027325898,71962.22404438537,-140443.5862288736,0.0
3.4439277638324566e-06,0.01419839171540967,-0.056462165790338914,848473205894421.2,0.18014901844153286,0.05829018355828541,3.307679268214449,1.2721553104465397,-192018.55160119632,290366.3062197856,98347.75461858927,0.0
5.173208764933247e-06,-0.045952383796510364,-0.07737059725099484,538140562908880.25,1.292067359840937,-1.3312304575822989,4.854610687185065,1.9875603945253721,-191864.0964896827,193304.02851070557,1439.9320210228616,0.0
0.001090215122953218,0.08412642777240699,-0.010568767147075976,750299339494098.8,1.252872195130414,1.775771617216673,4.864918835035952,2.135882945581424,-179886.40940622165,917.6096114371393,-178968.7997947845,0.0
0.9975072500233446,0.02879568967750176,-0.007107371695589056,5784782540.353436,-0.4716873183625383,2.375074509388373,4.145472467321469,2.603490421095664,-176705.89927515836,1.0464843033012445,-176704.85279085505,0.0
0.2130643960819982,-0.0032316930846650843,0.0691806525347197,232031141953583.4,-1.0047464909360302,-0.9954535117667827,3.172941197040544,2.1276674839240286,-173767.951795625,4.93323705092225,-173763.01855857408,0.0
0.7825716909239511,0.09121767665889856,0.11678524053279826,3299499535932.311,-1.1997514080848002,-1.3813740407266675,3.2548965801421077,2.4059213847711938,-154002.39183805964,2.3758110459162376,-154000.01602701374,0.0
0.1851792558328494,-0.005310497663951906,0.10181840586659574,230016886261670.34,1.58886132032453,0.9959553969830601,3.7640328172709907,2.103402916239178,-151241.86141516163,5.919932363382973,-151235.94148279825,0.0
0.3398334472188516,-0.13071406843075234,0.02003634492730508,46798244669877.91,1.0241523152897543,-2.9585948197153926,4.573083883771939,2.8567448475337422,-149794.4640283299,3.816999084901668,-149790.647029245,0.0
0.6611452750381377,-0.04590986422955044,0.017952421800506553,5573439830902.211,1.3931702591594686,0.44512816838842406,4.5480552149601845,1.6228730624035796,-141536.62154027863,1.6340271339828636,-141534.98751314465,0.0
0.7794028636957813,-0.06006760160867365,0.16371553365381622,230389116230.54886,-1.1827908508280396,-0.49464505592423835,4.653358712193053,1.4666939023219743,-125945.11560265199,2.803578156510573,-125942.31202449548,0.0
0.0011670475161997048,0.11128609190059142,-0.04647295579406413,643473182395129.8,1.101499667130243,-1.9820708228917174,4.330963233583668,1.9705637315062576,-121803.94038834125,857.5903571275475,-120946.3500312137,0.0
0.5932220885871087,-0.06907203000049285,-0.04803571822692236,101546991389801.6,0.7502068637567243,-0.0005735946639484624,1.71846334333294,1.931368225692137,-121515.10966652723,2.039628091695201,-121513.07003843554,0.0
7.302035258414965e-05,0.013370190099647395,0.0523193568129986,355033688329355.44,-0.47839471729823524,-0.549463615685104,2.10895065520768,1.6659173220552825,-120160.23596809797,13694.957792711335,-106465.27817538663,0.0
0.00016901378273037867,-0.10065611544304098,0.10164287142134083,461464203284102.4,0.4415675905314358,0.6268474220677378,3.01135218084668,1.297609389017214,-111392.9500112296,5917.700377308768,-105475.24963392083,0.0
1.2797980606596182e-06,-0.04287917457986306,0.03825307686070171,351815864292057.5,0.38775044821517257,1.1246214870310194,4.065696948469605,1.3271315920777018,-110449.37051289142,781373.4385362553,670924.0680233638,0.0
