galaxies_lens_mass_elliptical_comps_0,galaxies_lens_mass_elliptical_comps_1,galaxies_lens_dark_mass_at_200,galaxies_source_bulge_intensity,galaxies_lens_mass_einstein_radius,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
-0.12101300208881527,0.5567472884531549,1800964954300.6772,681874.3816944009,-0.2886319188781308,-0.7643703372445545,-0.5623653597593528,3.7067150198493515,-2.2696348163817584e+17,5.398813599537243,-2.2696348163817584e+17,0.0
-0.2651932239969687,0.13194530896058423,172154304204313.1,857406.0217443787,1.003800871375288,1.3050916513695023,-3.0854079603273754,4.0069109257873965,-2.0674520708226445e+17,0.3747812068176505,-2.0674520708226445e+17,0.0
-0.1416703556683041,0.34232127129101064,422545158568.99805,443504.9223560938,0.8140823560907314,0.9642093377972669,-0.25049825451490193,3.87961004647472,-1.898457650773836e+17,0.27339367634259176,-1.898457650773836e+17,0.0
0.015875271435907667,0.11065579058790967,1902112870.184075,552341.6716852704,0.7015931392748782,0.40653714834571986,-0.7647282871209962,2.7102399008059237,-1.613586459386422e+17,0.4713179706345614,-1.613586459386422e+17,0.0
-0.1438014079021452,0.4480631914181044,19287435172.41739,488966.5906025836,0.28785379541236766,-1.3723204845071302,1.2025253106812661,3.658890573511518,-1.4576883739049277e+17,1.5883155657141659,-1.4576883739049277e+17,0.0
-0.5094279921704422,0.31344394894635064,26640733121.120052,846302.1118533288,0.5956998194528198,0.4250716224518669,1.8321875001671692,1.658099382243573,-1.3161234821257614e+17,1.8607032958307643,-1.3161234821257614e+17,0.0
-0.19300258547115123,-0.460878748817947,12205988550.866798,739818.5541372587,1.0028674533080149,-1.3027084482598572,3.5914725555420404,2.841217326304931,-5.470714410950372e+16,5.582145951241745,-5.470714410950371e+16,0.0
0.017908872019839844,0.5441958379528398,46233722271.73364,781102.1090878913,0.7530595164792572,4.313715500505994,-2.797908557215887,3.6713608048636646,-4.39372520516693e+16,1.885861489463349,-4.39372520516693e+16,0.0
-0.26289927918437683,-0.1866374235862558,895964754819737.9,309192.192633838,0.27972382466295287,0.7304797368690066,0.5063027634972528,1.059455675413673,-3.1556899335681548e+16,2.7997879729379975,-3.1556899335681544e+16,0.0
-0.14708366582501078,0.44140753442427183,315945264.4742148,305278.8788462614,0.7360181104273533,-0.7221242512213157,-4.4101744641578104,4.1726713127791655,-1.8937714441197596e+16,0.7583965720544753,-1.8937714441197596e+16,0.0
0.1081309949514446,0.29223996973696165,133029369.57984258,495820.5091182152,0.290938315472173,-0.48083930319197243,-3.673310646138117,1.8829759359283937,-1.7748188886218836e+16,1.758127673146044,-1.7748188886218834e+16,0.0
-0.04663040980179753,0.4614219410722949,2163529251187.3845,489989.62312488764,0.45241865007733,2.656726206091448,-1.2477631906330489,1.4542723087859017,-1.7203760298034498e+16,1.3739477265887081,-1.7203760298034496e+16,0.0
0.06484724799440367,0.13024345939576126,1865968635812.4373,805988.9273862917,1.1960874087143263,-4.948238666001461,0.6806796038522522,2.874564436472678,-1.2991196631810276e+16,1.231238012940301,-1.2991196631810274e+16,0.0
-0.2921306608556676,0.029090555546115088,9497667904.08469,249618.05165584388,0.768947985535611,-3.089570205943455,-3.0628488641989025,4.062221321159965,-1.0834249219368622e+16,0.5875034799278528,-1.0834249219368622e+16,0.0
-0.4503954109767365,0.6441729065993627,969682289.0533655,459789.31673017226,1.3024816615069286,1.4946032437985473,-2.374232052231452,0.802633093717593,-7394053425881407.0,4.517145398856298,-7394053425881402.0,0.0
-0.12489965711393795,0.0850761244607703,8093959410014.611,162652.93359513438,0.17976889504721016,4.002619626563526,-1.9492390892662916,4.598688137453536,-6481781694441426.0,1.347143152682396,-6481781694441425.0,0.0
-0.2403921554524484,0.03348167999936141,8398441744.032141,458620.4759891081,0.38569642602879894,2.9056624109812166,-4.351251100926778,2.71025079595711,-5835681791829953.0,0.9322830181995017,-5835681791829952.0,0.0
0.11253014945117742,0.2439318209331201,574493833672353.1,199085.95186972272,0.47074468256368523,3.2771708745078634,3.7180787104938755,4.38709928208891,-4107963393739079.0,1.2283767203439473,-4107963393739078.0,0.0
0.18654511476782445,-0.09503922326175318,3759745520.3852067,110101.07232359526,1.5415064670180185,-2.214659170318799,3.4872783865862083,4.670932042212273,-2961395792371824.5,4.437226084815358,-2961395792371820.0,0.0
-0.009855490559571217,0.26762692570285956,405453348.34025407,95862.76577853077,0.012534194888662142,-2.659375919438266,-0.5369702257343612,2.704026988520907,-2900084194933265.0,2.2597353506435103,-2900084194933262.5,0.0
-0.217134850547174,-0.05166831555354123,94637051594.40472,106357.21672606941,0.5752080710163524,-2.160886514210297,1.9065657943196168,2.1993466716490824,-2287907540901971.5,0.9530999974901793,-2287907540901970.5,0.0
-0.30914217302556846,0.3555272130959168,18550933724350.336,144246.9606227859,0.5843509513007283,3.2161949798897993,0.881060765177879,2.4365964308256514,-1919244255142836.0,0.7421738314416356,-1919244255142835.2,0.0
-0.17773234790797057,0.20569107735694778,451983926188952.1,204921.20678922205,0.8176637996755479,2.9262176614299538,-3.68807706873337,3.391688814300542,-1822472094365333.5,0.013421497622213816,-1822472094365333.5,0.0
-0.25171613646057683,-0.18370143703557185,171337578961.5384,360739.5509387992,0.39266773124378407,-2.607519358668174,3.634339108539976,1.6744550868505863,-1496137067787701.2,2.4131487751820235,-1496137067787698.8,0.0
