galaxies_lens_bulge_mass_to_light_ratio,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,galaxies_lens_dark_mass_at_200,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,galaxies_source_bulge_intensity,log_likelihood,log_prior,log_posterior,weights
0.00017576105850682455,0.09258897318605636,-0.139910182138992,599425470987037.4,-0.10613573688991895,-0.11018695968911718,3.5371181282435127,3.915055878897926,-1697391.780125498,5690.949809327358,-1691700.8303161708,0.0
0.8534085073271729,0.15572790198947736,0.0738573675974377,207925394.85149714,-0.44562547099496896,-0.4561216566728987,4.400701116755688,4.2942436697846285,-1296746.366221694,2.657076288456139,-1296743.7091454056,0.0
0.03247784792082538,-0.06929599428754701,-0.03623432474817302,450514430343231.7,-0.5334647490391582,-0.040762778646191045,3.8134351164882347,3.4689137041690765,-1155790.877415988,31.095960512171235,-1155759.7814554758,0.0
0.24603578974298812,-0.009248107620064647,0.03294706012493057,457137505595117.75,-0.40507249369629195,1.673803282967226,4.764296896828731,4.465350161704709,-1065185.3179930663,4.1230011401137,-1065181.1949919262,0.0
1.1716624020981724e-05,-0.0803948224638816,-0.0754952267179868,758123880560634.6,-0.4797642607842221,-0.14249188021633286,2.4084041421822304,3.406796837784647,-995344.0880117266,85349.4251919488,-909994.6628197778,0.0
0.6134568689771158,-0.026344872120798588,0.016324141891245442,2032147331495.9788,-0.8413311424596106,-0.08456862899885298,3.1244974113588664,4.113692185736151,-821856.4152344894,1.6781329465442103,-821854.7371015429,0.0
0.9710755677878355,-0.19917512931354953,-0.1566946703749459,118387873886.48318,-1.3988607233445631,0.992015513534434,3.5969633297317,4.3158869309662915,-683015.6533066209,4.240983567673364,-683011.4123230532,0.0
0.01875533969564389,-0.20067716541413372,0.02416228423597347,316805344648087.9,0.21263326100514401,-0.2466610378379075,1.9331998749992536,3.7164059276076347,-672897.6398748308,55.3609062248292,-672842.278968606,0.0
0.5096514024543612,-0.11255281226728056,0.05046251183426835,126091858736333.73,1.1088463226270573,-1.2488945095270187,3.616226214745063,4.005489885091406,-577254.1488109832,2.7228555072492586,-577251.4259554759,0.0
0.8961764059545715,0.04088255428447214,0.023566989606799607,1024798350632.7502,-2.169061610021712,-1.5262823907920613,4.86148602418735,4.341152055057012,-550179.250522525,1.2271910500433607,-550178.023331475,0.0
0.7735092727671413,0.16831062377452385,0.1109017271853108,237189093.6259299,0.02411698308307031,-1.5466731101976614,4.25223348107946,3.410665800226649,-536378.1483309632,3.3241922865750437,-536374.8241386766,0.0
0.2684637207655427,-0.002699229982140392,-0.07922465295406735,85138222732170.19,1.3659364519194739,2.184342303496927,4.732867274904536,3.947926679755193,-449637.5489139602,4.039089661250388,-449633.50982429896,0.0
1.1252016236070805,0.012651368918220331,-0.1822526929327504,140297597.43678084,-2.3110859624497717,1.8039040799069834,4.5462131949066205,4.415060752239439,-407216.57782326604,2.5575346778585515,-407214.0202885882,0.0
0.05330125439519346,-0.10994332670583204,0.0027539912824291212,602081510487610.0,2.610187371448969,1.0367352085400814,4.77715828992437,3.9072426230031385,-355347.4441775029,19.366040516871855,-355328.078136986,0.0
0.951724164194056,-0.05650525277615372,-0.24514995565051323,390807235441.70215,1.1205508788755143,-0.25540728155704695,2.808152070963128,2.9503797859685728,-324795.01794633234,4.215291826026039,-324790.8026545063,0.0
0.000696196931508226,-0.046336940559354056,-0.1427079452128383,493474457624275.75,-2.632375227461227,-0.05461818097950477,3.9917413288919503,3.8598639236231196,-301571.48956355,1437.5008238110743,-300133.98873973894,0.0
0.799599361873461,0.021676695232565792,-0.06382011231510305,7147580956696.89,0.114056311221717,1.0634535524362798,1.8719213533457013,3.6029278443149435,-293624.30262110574,1.477770603333698,-293622.8248505024,0.0
0.7981333596742525,0.13329774595392807,-0.04661939370026031,33935510178.203514,0.572806115058385,-0.30588323111758875,3.7382393422167066,2.113549311157742,-283642.10816711595,2.250006294086921,-283639.85816082184,0.0
3.414559122943865e-05,0.08897035116056783,-0.0642864793060537,926450440269164.0,0.9719804642073804,2.398407660738793,3.617505926970595,4.267180730254254,-283191.8632141674,29286.960164058215,-253904.9030501092,0.0
0.7107863951335031,0.0371654442728618,-0.0443297810042048,2149856779.194729,1.8990398116195113,-1.727821147680882,4.557106754858198,3.1258717348618354,-281509.0599815613,1.5742124189439386,-281507.4857691424,0.0
0.00022387197348815779,-0.09949867242104839,-0.1143044901408648,528095902297952.0,-1.879366989350898,-0.5076586034596753,4.3021309234552065,2.614794523054149,-280302.566773232,4467.98699734868,-275834.57977588335,0.0
0.5399091358342418,-0.07180014248371423,0.007001424084667055,58417084223965.51,2.402544224032396,-1.4247735540506026,3.741190000655783,4.216080753819512,-265720.82558307424,2.1123775297950753,-265718.71320554445,0.0
0.0003916600998125583,-0.00659609726481013,-0.035890497622863934,791412903257626.8,1.0052577125385866,2.8856258130510817,4.601270429019758,3.786477125921295,-264268.02638922026,2553.3008798171445,-261714.72550940313,0.0
0.013961528830125176,-0.03903742542700237,0.09924772665503129,491937681508083.25,-1.7610158580092956,-1.6574037854947123,3.787391741035635,3.4949117321012926,-250985.6533093171,72.19409535513887,-250913.45921396196,0.0
0.06068762011444879,0.08750893220517866,-0.05054193677753165,657315123038785.8,-2.4923749245266826,-1.2730413479391656,4.9862956706742345,3.0809074156949214,-244135.11509070615,16.988440294534936,-244118.1266504116,0.0
