galaxies_lens_bulge_elliptical_comps_0,galaxies_lens_bulge_elliptical_comps_1,galaxies_lens_bulge_intensity,galaxies_lens_bulge_sersic_index,galaxies_lens_bulge_effective_radius,galaxies_lens_bulge_mass_to_light_ratio,galaxies_lens_dark_centre_0,galaxies_lens_dark_centre_1,galaxies_lens_dark_mass_at_200,galaxies_source_bulge_intensity,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
-0.10260783712864507,0.5829315109735426,0.3880838409745794,1.8363703858173688,4.754173124454258,0.06086511505816744,-0.06010539884634376,-0.011005523540033313,947899089218108.6,867252.5931351011,1.0532747312406334,-2.1425787722449625,4.844582053845042,-3.687401844532068e+17,21.813453942092117,-3.687401844532068e+17,0.0
-0.0772871533739253,0.32096506528087754,0.10320439026292225,3.9144909185364654,3.7111694106265327,2.8142686976866624e-05,0.00930981595381606,0.04196104678256148,685304704705033.4,999936.4428841962,1.3166783902413712,2.177136791448657,3.949081376504344,-3.11718972815894e+17,35535.387663630434,-3.117189728158585e+17,0.0
0.05629325549243619,0.0015026817566074283,0.2201133500860278,3.21969837052788,2.347931931778425,0.2742300408095628,-0.1423927725878235,-0.18262566408999506,102344639606592.38,498449.03656071005,-0.12079705011670905,-0.4958923269541202,2.6069283782355708,-2.4006281613789843e+17,6.891203624223815,-2.4006281613789843e+17,0.0
-0.2950866482173453,0.30894387926121447,0.4236357390848736,3.4272948527309275,3.636901735572938,2.9758222681096387e-05,0.05665773519051175,-0.002740646457659226,353736796891713.25,653873.0061430483,-0.38705707653560406,-0.9295850971816106,1.7513051762151148,-1.7258879925381104e+17,33606.779182353006,-1.7258879925377744e+17,0.0
-0.10814665721313182,-0.12080297591938732,0.384129791890773,4.669941060258768,3.6137551298000083,0.18269020836011554,-0.09604447255795479,-0.0916700646918972,46011312699.88132,594124.4501700359,2.257971734130509,0.5621389681113813,3.9761555861016196,-1.4201234417437894e+17,8.349887624072862,-1.4201234417437893e+17,0.0
-0.10659050847696147,-0.24847408364269016,0.32486157726090126,1.6941503073784325,2.4996775159539393,0.22546171390788122,-0.060114497857155905,-0.07210858879148772,499393802381587.6,437928.2030181102,-2.504676781322062,-0.1270734720028539,4.567530755234934,-8.117345461733467e+16,6.656741621785823,-8.117345461733467e+16,0.0
-0.2012507653335597,-0.10377238804382038,0.16303188345869762,1.3768127648580766,1.2289574027309083,0.42378998622124653,-0.028607194998595594,-0.144506943417128,764921802717342.6,374715.91413745104,-1.1676879249223069,-1.331107322826376,3.654435681034642,-7.804180940050994e+16,4.686670023413037,-7.804180940050994e+16,0.0
-0.05813079571108144,0.13872058844928634,0.13512596525572865,2.285342627718806,1.191189618967055,2.69078281860292,0.11785243859984511,0.07681133088179182,20471799931488.59,814791.4527027367,2.7064581127340572,-2.1414725732676527,3.3402107701534107,-6.274158229544626e+16,2.108776307697171,-6.274158229544626e+16,0.0
-0.18263275623298036,-0.10319877564977409,0.3705363935758671,1.9322456638647114,6.316923568769082,1.1611086073645196e-05,-0.05587122106877246,0.10159742270630184,598376293625598.0,428523.41779538017,-0.21930760231324964,0.6163677925783944,0.8693995559380846,-5.472614338247851e+16,86128.44499835976,-5.472614338239238e+16,0.0
-0.256729484685701,0.16983519952318663,0.5569819798842056,1.021235462987212,1.9814140275281207,3.4804821394567956e-06,-0.06959128864852093,-0.18637583294550644,329923207511982.56,173865.0992999665,0.08456903951838779,-0.658036763248603,4.668815702977102,-4.2157209693284664e+16,287322.8471930592,-4.215720969299734e+16,0.0
