galaxies_lens_bulge_elliptical_comps_0,galaxies_lens_bulge_elliptical_comps_1,galaxies_lens_bulge_intensity,galaxies_lens_bulge_sersic_index,galaxies_lens_bulge_centre_0,galaxies_lens_bulge_centre_1,galaxies_lens_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
-0.4594551579757989,-0.23294753222702314,915166.909391367,6.686724899013517,-0.06718482581071779,0.05090950263885588,2.047689528149605,-1.727166862132342e+17,1.4742432869258861,-1.727166862132342e+17,0.0
0.05739188288880268,-0.27891511718646506,86263.87694093796,5.820837555345096,0.06172965552388884,0.06595182960055987,2.7723738288282314,-2634277211459451.5,0.4504975413192366,-2634277211459451.0,0.0
-0.29472713905728,0.03552024206455867,98182.99176296053,7.473957030597148,0.02227420629447792,0.05725500695642147,1.7583747240906278,-1359718474911633.0,0.48959781891463117,-1359718474911632.5,0.0
0.026385850633741204,-0.13887421001242264,69664.3815762515,7.338186614214422,-0.032768019965644476,0.022362298903804673,1.6617061941106956,-533905149442904.06,0.11102690631693367,-533905149442903.94,0.0
0.31297985289643987,-0.031039867177784147,20932.057098756548,6.104408967376453,-0.06166539822646442,0.03802156126929762,2.1859032530748888,-108374732012383.84,0.5496025606881862,-108374732012383.3,0.0
0.19833655787543172,-0.2190246004978932,733593.7150854337,6.0558637510477835,-0.005778994736278631,0.015563137133055543,0.1676179285438204,-21415678956197.086,0.48505228433644454,-21415678956196.6,0.0
-0.19031596646242488,0.10278784584272325,87403.90597167752,7.646787626013545,-0.039518982499501476,0.07959382287422198,0.45463642561155093,-14704742753223.818,0.2599309319335858,-14704742753223.559,0.0
0.17771512994586414,-0.4122657759123105,12831.101401700314,3.81010670949017,0.037257597947583015,-0.06359130658506312,1.5951662958008108,-6639453208402.37,1.1197764767447609,-6639453208401.25,0.0
0.22189611911088325,-0.2703519700591355,3877.7697844261183,7.273365507798805,-0.07449840954235012,0.04288418432027702,1.740150873793683,-2424546970908.5674,0.6798582990284404,-2424546970907.8877,0.0
-0.22237176524109403,0.47586612413211826,7289.903491860481,4.152356310236971,0.06405607563548607,0.005615511811591728,1.578087920877992,-2240409786169.903,1.5329025653214925,-2240409786168.37,0.0
0.6497256981473124,-0.19934217445004493,6158.4178217607705,4.353085808894223,0.01918675976318529,0.08544081880603271,1.5284238109928885,-1310545966174.1462,2.566166742410592,-1310545966171.58,0.0
0.20804776448714707,-0.06428450111678892,8997.60965273737,0.6685248058202851,0.04944668582497874,-0.00992107274474932,2.458340849178851,-1020460169629.6298,0.26353541502904354,-1020460169629.3662,0.0
-0.3206410616150124,0.007951528496656902,9147.287515119393,5.677008579689125,-0.06259107862759741,0.01616427644843306,0.6403072133162544,-349816852009.7927,0.5716310842424739,-349816852009.22107,0.0
-0.32956102655752245,-0.1263181245420389,18992.048221964204,2.2203701617319185,0.04725174078561431,0.02054628984616666,0.5025466277932438,-348402326259.65186,0.6920900914678451,-348402326258.9598,0.0
0.23130835177301518,-0.2125456852080186,8651.724336264488,2.3129169264638465,-0.0560976505558489,-0.010722065516235252,0.8166152972689775,-285285879408.2447,0.5483334833425124,-285285879407.69635,0.0
-0.4074181002062488,0.6251619740059434,1043.9301628031612,6.2524664625952875,0.03519789973071724,0.07835223944629197,2.3989709641507018,-239958743809.5098,3.094385708033207,-239958743806.4154,0.0
0.0053471326232058195,-0.17909956194365975,817.1907531656085,7.356754071985345,-0.057078078153679025,-0.004667971239556021,2.3979115650957126,-199258656856.4635,0.17958617625143813,-199258656856.2839,0.0
0.4205099393011149,-0.30142090863428084,584.5329784103078,3.539959881221886,-0.05621606039633229,0.035013348536809236,2.99721475939291,-54096258286.6983,1.488839507534024,-54096258285.209465,0.0
0.36994927625840823,0.31982243745505495,278.4368703603175,5.330071626563988,-0.07019617590172306,0.06255397953882011,2.9289019069357733,-23383959390.682156,1.3321962478452882,-23383959389.34996,0.0
-0.05286879638634859,0.2063724962378199,1172.6891467126966,1.2407471214807062,0.08340998071187947,0.025438027862810353,1.8688514770955047,-19047591163.495136,0.25299005665009777,-19047591163.242146,0.0
0.14480896944475657,-0.18313851912473147,567.1345608848345,5.293932440661095,-0.01971999185979878,-8.336387413701574e-05,1.4325473904181598,-14120493229.384823,0.3045929989680905,-14120493229.08023,0.0
-0.04493149819811844,0.26324228068577643,378.3428912710426,4.175767270227373,0.004511430988270532,0.09362791559812952,1.9078085678484604,-9991501349.333164,0.39883942653811305,-9991501348.934324,0.0
-0.009666318226221614,-0.2576892641707098,299.4500545734698,6.277408281039383,0.05015791805628486,0.07067532156286335,1.5532692147823717,-7021097747.172751,0.37276831382063835,-7021097746.799983,0.0
0.05579553992877233,0.24222492364426393,9098.208166074313,5.076674869593698,-0.09083137932894042,0.07174822301047029,0.1986405955460292,-5470798671.041066,0.34336577792100414,-5470798670.6977005,0.0
0.187356244806693,0.2202347477993777,2515.7992493126976,7.900628718360555,-0.0055842884214517274,-0.0750132251265127,0.26214787945195694,-1314746371.9927042,0.46487363580812024,-1314746371.5278306,0.0
0.1818983522930761,0.489561708061242,108.80864159814904,2.8080769538685013,0.06996388391203673,0.018092416253574967,2.8148787126983925,-1072721878.5605394,1.5245108718769975,-1072721877.0360285,0.0
-0.47089123203222133,-0.2348001556181722,79423.81717175756,0.5107366180199314,-0.06072014492133655,-0.06761628395897053,0.05012447679170029,-689930342.0601689,1.5381773989213559,-689930340.5219915,0.0
