,DEC,GAMA_ID,ID,KIDS_ID,P1,P3,R,RA,Unnamed: 0_x,Unnamed: 0_y,cnn_probability,corrected_stellar_mass,dlens,dsource,error,lambdar_log_mstar,lambdar_log_mstar_error,lambdar_mstar,mag,mag_err,name,normalized_score,num_0,prob,probability,rms,s*p/10,score,sigma1,sigma2,sigma3,sigma4,sigma_lens,sigma_source,template1,template2,type,type_number,z,z1,z2,z_max,z_min,zlens,zphot,zsource
0,0.23814,600305.0,245.0,,0.8320000000000001,,1.3482877016067505,134.75916,30,44473.0,0.8320000000000001,411967029248.0,755.0599481115347,1363.9464708767873,40.55467224121094,11.614862,0.14830036,411967030000.0,,,,0.17142857142857143,,1.0,,,,12.0,10.951899528503418,3.5537748336791988,2.63576889038086,2.63576889038086,10.951899528503418,3.5537748336791988,40.0,45.0,PG + ELG,1,0.24336,0.24335892498493195,0.6346657872200012,,,0.24335892498493195,,0.6346657872200012
1,2.63477,419067.0,1179.0,,0.9009999999999999,,1.3984817266464231,138.61973999999998,51,62365.0,0.9009999999999999,264216461312.0,617.2262113425436,1473.1809503284203,44.7299919128418,11.42196,0.11376823,264216460000.0,,,,0.11428571428571428,,1.0,,,,8.0,11.541552543640135,4.00849199295044,2.8663170337677,2.8663170337677,11.541552543640135,4.00849199295044,40.0,43.0,PG + ELG,1,0.18776,0.1876792907714844,0.7637652158737183,,,0.1876792907714844,,0.7637652158737183
2,2.36495,387244.0,1819.0,,0.8759999999999999,,1.2018797397613523,135.56917,115,52723.0,0.8759999999999999,268221448192.0,693.7250199806349,1433.4948799691867,38.65888595581055,11.4284935,0.111712016,268221450000.0,,,,0.05714285714285714,,1.0,,,,4.0,12.368897438049315,3.3477907180786133,2.7854623794555664,2.7854623794555664,12.368897438049315,3.3477907180786133,40.0,47.0,PG + ELG,1,0.21772,0.21772262454032895,0.7123265266418457,,,0.21772262454032895,,0.7123265266418457
3,-1.29831,3611088.0,1743.0,,0.895,,1.4560488462448118,135.38005,126,61634.0,0.895,210218041344.0,728.085536019757,1478.7877627463336,43.36043930053711,11.32267,0.10134957,210218040000.0,,,,0.05714285714285714,,0.9999277591705322,,,,4.0,9.052865982055664,4.793195724487305,3.2919194698333736,3.2919194698333736,9.052865982055664,4.793195724487305,40.0,43.0,PG + ELG,1,0.2319,0.23190343379974365,0.7715562582015991,,,0.23190343379974365,,0.7715562582015991
4,1.19776,373093.0,2897.0,,0.909,,1.2301068305969238,139.30637,141,48311.0,0.909,459364106240.0,1035.995243256812,1522.2696131805583,54.19796371459961,11.662157,0.112764895,459364100000.0,,,,0.05714285714285714,,0.9998424649238586,,,,4.0,8.714599609375,4.3738999366760245,3.5557072162628174,3.5557072162628174,8.714599609375,4.3738999366760245,40.0,43.0,PG + ELG,1,0.38411,0.3839914500713349,0.8374122977256775,,,0.3839914500713349,,0.8374122977256775
5,-0.00889,585328.0,3234.0,,0.8370000000000001,,1.2233372926712036,182.36838,167,88382.0,0.8370000000000001,259756834816.0,661.1026140880804,1490.7976199888435,39.34497833251953,11.414567,0.0822946,259756830000.0,,,,0.2571428571428571,,1.0,,,,18.0,11.430782318115234,3.3716747760772705,2.7561285495758057,2.7561285495758057,11.430782318115234,3.3716747760772705,40.0,43.0,PG + ELG,1,0.20466,0.20466271042823792,0.7887411713600159,,,0.20466271042823792,,0.7887411713600159
6,-0.4954,561058.0,3349.0,,,0.98,1.2047239542007446,182.5603,201,73125.0,0.98,297811083264.0,919.475109156616,1533.0893385187865,48.4037971496582,11.473941,0.10634126,297811080000.0,,,,0.11428571428571428,,0.999999701976776,,,,8.0,9.753260612487793,3.6351492404937744,3.0174126625061035,3.0174126625061035,9.753260612487793,3.6351492404937744,40.0,43.0,PG + ELG,1,0.32019,0.3202874958515167,0.8555517792701721,,,0.3202874958515167,,0.8555517792701721
7,0.42791,84425.0,2562.0,,0.89,0.981,1.2244791984558103,177.77478,202,68103.0,0.981,306090835968.0,849.3615798050406,1400.4167518335323,38.429664611816406,11.48585,0.11137759,306090840000.0,,,,0.11428571428571428,,1.0,,,,8.0,12.25743293762207,3.1225991249084477,2.550144672393799,2.550144672393799,12.25743293762207,3.1225991249084477,40.0,43.0,PG + ELG,1,0.28587,0.28586745262146,0.6736734509468079,,,0.28586745262146,,0.6736734509468079
8,-2.74642,165293.0,2144.0,,0.9940000000000001,0.99,1.241802215576172,180.6015,203,83542.0,0.9940000000000001,203610292224.0,791.8334519671724,1541.800356688003,45.05146789550781,11.3088,0.112862274,203610300000.0,,,,0.11428571428571428,,0.999999701976776,,,,8.0,9.833870887756348,3.698742389678955,2.9785277843475337,2.9785277843475337,9.833870887756348,3.698742389678955,40.0,43.0,PG + ELG,1,0.25946,0.2594617307186127,0.8707607984542847,,,0.2594617307186127,,0.8707607984542847
9,-0.61902,559216.0,2507.0,,,0.812,1.3253967761993408,176.11624,226,66583.0,0.812,213295824896.0,770.8459556853941,1434.5651871120278,50.80804824829102,11.328982,0.08922778,213295820000.0,,,,0.05714285714285714,,0.9999992847442628,,,,4.0,9.004105567932129,3.6533803939819336,2.756442785263061,2.756442785263061,9.004105567932129,3.6533803939819336,40.0,45.0,PG + ELG,1,0.2502,0.2502009868621826,0.7136363387107849,,,0.2502009868621826,,0.7136363387107849
10,1.42309,272448.0,2541.0,,,0.912,1.464757204055786,179.41953,244,70542.0,0.912,357451333632.0,819.0556940040425,1551.7230385762593,41.047550201416016,11.553217,0.10896457,357451330000.0,,,,0.05714285714285714,,0.9999996423721312,,,,4.0,11.36670207977295,4.819479465484619,3.290292501449585,3.290292501449585,11.36670207977295,4.819479465484619,40.0,43.0,PG + ELG,1,0.27163,0.2717644274234772,0.8888060450553894,,,0.2717644274234772,,0.8888060450553894
11,-0.8924700000000001,544226.0,3212.0,,0.988,,2.1221704483032227,214.42336,316,94759.0,0.988,192852754432.0,716.4341659211938,1378.5027482374978,45.35596466064453,11.285226,0.11088524,192852750000.0,,,,0.2571428571428571,,0.996205747127533,,,,18.0,9.393048286437988,7.239895820617676,3.4115524291992188,3.4115524291992188,9.393048286437988,7.239895820617676,40.0,46.0,PG + ELG,1,0.22704,0.22704437375068665,0.6498237252235413,,,0.22704437375068665,,0.6498237252235413
12,-0.24168,62734.0,539.0,,0.812,,1.4813647270202637,213.56206,348,92873.0,0.812,321109950464.0,824.2876657263043,1326.0213113706118,40.7535400390625,11.506654,0.11141836,321109950000.0,,,,0.11428571428571428,,1.0,,,,8.0,11.88359546661377,3.756571292877197,2.535885572433472,2.535885572433472,11.88359546661377,3.756571292877197,40.0,45.0,PG + ELG,1,0.27417,0.27416789531707764,0.5974463224411011,,,0.27416789531707764,,0.5974463224411011
13,-0.99942,513159.0,2123.0,,,0.862,1.241552472114563,221.91681,358,101949.0,0.862,175057321984.0,856.9123588679264,1424.4773439052576,40.63710021972656,11.24318,0.117320195,175057320000.0,,,,0.05714285714285714,,0.9999999403953552,,,,4.0,9.708475112915039,3.312683582305908,2.6681785583496094,2.6681785583496094,9.708475112915039,3.312683582305908,40.0,44.0,PG + ELG,1,0.28945,0.28945088386535645,0.7014451026916504,,,0.28945088386535645,,0.7014451026916504
14,-0.09455,593219.0,457.0,,,0.895,1.3714710474014282,215.79222,364,96804.0,0.895,420389158912.0,1064.4513822640058,1535.6838374365789,41.26661682128906,11.6236515,0.10918899,420389160000.0,,,,0.05714285714285714,,1.0,,,,4.0,11.679271697998047,3.8478670120239262,2.805649518966675,2.805649518966675,11.679271697998047,3.8478670120239262,40.0,45.0,PG + ELG,1,0.40107,0.4010081887245178,0.8600229024887085,,,0.4010081887245178,,0.8600229024887085
15,0.2401,617569.0,1418.0,,,0.9640000000000001,1.3223259449005127,212.16078,374,90610.0,0.9640000000000001,322239463424.0,906.8034108997523,1445.952039968083,49.87385177612305,11.508179,0.10731004,322239460000.0,,,,0.05714285714285714,,0.9999999403953552,,,,4.0,9.380717277526855,3.4270968437194824,2.5917186737060547,2.5917186737060547,9.380717277526855,3.4270968437194824,40.0,43.0,PG + ELG,1,0.31382,0.31386977434158325,0.727821946144104,,,0.31386977434158325,,0.727821946144104
16,2.1713400000000003,342310.0,2163.0,,0.903,,1.321237087249756,215.08101,394,130224.0,0.903,254580228096.0,1028.736699355924,1416.9291046471408,47.35982131958008,11.405825,0.15161027,254580230000.0,,,,0.05714285714285714,,0.9999998807907104,,,,4.0,9.367025375366213,3.493913173675537,2.644425630569458,2.644425630569458,9.367025375366213,3.493913173675537,40.0,43.0,PG + ELG,1,0.38003,0.3797509968280792,0.6925411820411682,,,0.3797509968280792,,0.6925411820411682
17,1.99311,250289.0,2730.0,,0.9990000000000001,1.0,1.378510355949402,214.36708,419,93879.0,1.0,466464374784.0,1064.788974686647,1439.410257048191,52.42391586303711,11.668818,0.100728765,466464370000.0,,,,0.4,,0.9999518990516664,,,,28.0,8.795989036560059,4.5154995918273935,3.275636911392212,3.275636911392212,8.795989036560059,4.5154995918273935,40.0,47.0,PG + ELG,1,0.40089,0.4012139439582825,0.7196155786514282,,,0.4012139439582825,,0.7196155786514282
18,1.64325,323152.0,2967.0,,1.0,1.0,1.578601956367493,130.54643000000002,2,38855.0,1.0,,981.8713916743382,1440.9954268947367,29.41335868835449,,,,,,,0.42857142857142855,,0.9894577264785768,,,,30.0,11.317520141601562,7.519263744354247,4.763242244720459,4.763242244720459,7.519263744354247,11.317520141601562,47.0,40.0,PG + ELG,1,,0.7215898633003235,0.35328593850135803,,,0.35328593850135803,,0.7215898633003235
19,-1.57512,3575500.0,1906.0,,0.929,,1.3020358085632324,129.23265,5,57129.0,0.929,304925136111.0143,729.5945038881138,1003.2979867788335,57.59304809570313,11.76089,0.12145566,576620400000.0,,,,0.37142857142857144,,0.9997017383575441,,,,26.0,8.068477630615233,4.330916404724121,3.3262653350830083,3.3262653350830083,4.330916404724121,8.068477630615233,42.0,43.0,ELG + PG,2,0.36519,0.3651945888996124,0.23253659904003146,,,0.23253659904003146,,0.3651945888996124
20,1.90541,345595.0,3294.0,,0.929,,1.273699164390564,130.02208000000002,113,55015.0,0.929,35091788381.98966,309.7579803458986,993.8325572496905,71.43119812011719,11.557787,0.13262962,361232600000.0,,,,0.05714285714285714,,0.999868094921112,,,,4.0,7.3161258697509775,3.7349147796630864,2.932336807250977,2.932336807250977,3.7349147796630864,7.3161258697509775,40.0,47.0,ELG + PG,2,0.35945,0.35989525914192205,0.08408384025096892,,,0.08408384025096892,,0.35989525914192205
