,Unnamed: 0,Unnamed: 0.1,Experiment,phase1_time,phase1_likelihood,phase2_time,phase2_likelihood,phase3_time,phase3_likelihood
0,0.0,0.0,1-1,107.55507908388971,296.23940404320155,167.6845664009452,118.46283468362202,0,0
1,1.0,0.0,1-2,137.52179885283113,296.0103097780824,143.62244004383683,118.25428634194641,0,0
2,2.0,0.0,1-3,104.3643159121275,296.23589335286306,206.74938096478581,118.07003148549973,0,0
3,3.0,0.0,1-4,73.45301524549724,296.13238783761636,132.76124202087522,117.99803412781529,0,0
4,4.0,0.0,1-5,40.02999484911561,296.1799386574952,98.2845603749156,118.63210889506136,0,0
5,5.0,0.0,1-6,34.548316325992346,286.5432982176337,65.27137413993478,118.51402779540187,0,0
6,6.0,0.0,1-7,11.370711646974087,-208.23064269973577,22.767801444977522,89.78917554407158,0,0
7,7.0,0.0,2-1,31.43898682296276,293.25616075329503,74.86375653371216,118.0873225816977,0,0
8,8.0,0.0,2-2,30.512206189334393,290.2877834268285,69.75307943299414,117.81425403746692,0,0
9,9.0,0.0,2-3,33.1634241566062,294.15503996980726,67.38810105621815,117.52808509085087,0,0
10,10.0,0.0,2-4,34.00194701552391,295.7727248555172,66.21712006255984,117.63325109449349,0,0
11,11.0,0.0,2-5,34.957396015524864,294.77969500146,97.96302201598884,117.77039088985443,0,0
12,12.0,0.0,3-1,33.79553335532546,295.2627573399923,77.24718562141061,118.28296174300483,0,0
13,13.0,0.0,3-2,32.32108880952001,294.2723196094485,75.17734151706101,117.75844571334729,0,0
14,14.0,0.0,3-3,31.98626006394625,295.33379152566795,110.401983179152,117.71597720291278,0,0
15,15.0,0.0,3-4,32.71728263422847,294.81913730492715,235.50923037156463,118.28955160888219,0,0
16,16.0,0.0,3-5,33.04971493780613,293.7869539913695,68.59575351327658,118.02555177897594,0,0
0,,,1-DM-positions,58.46996406465769,300.58542867714533,521.4613352492452,118.26163784773334,0,0
0,,,DM_1-1_eff_radius_0.65-5.0,58.38562412187457,300.9637438261428,762.9184863306582,117.74018984677448,0,0
0,,,DM_1-1_eff_radius_0.65-10.0,57.42644210904837,301.656091257234,805.9918376393616,117.59520107161606,0,0
0,,,DM_1-3_eff_radius_default,65.1961566992104,301.6121777715229,899.4060708172619,117.04381754954896,0,0
