,GAMA_ID,RA,DEC,R_PETRO
0,600305,134.75916,0.23814000000000002,17.871542
1,419067,138.61973999999998,2.63477,17.614162
2,387244,135.56916999999999,2.36495,17.905178
3,3611088,135.38005,-1.29831,18.307632
4,373093,139.30637,1.19776,18.967205
5,585328,182.36838,-0.00889,17.752956
6,561058,182.5603,-0.4954,18.85086
7,84425,177.77478,0.42791,18.513157
8,165293,180.6015,-2.74642,18.478994
9,559216,176.11624,-0.61902,18.452131
10,272448,179.41953,1.42309,18.668146
11,544226,214.42336,-0.8924700000000001,18.343842
12,62734,213.56206,-0.24168,18.316183
13,513159,221.91681,-0.9994200000000001,19.047604
14,593219,215.79222000000001,-0.09455,19.079947
15,617569,212.16078,0.2401,18.633877
16,342310,215.08101000000002,2.1713400000000003,18.97834
17,250289,214.36708,1.99311,18.974998
18,323152,130.54643000000002,1.64325,18.57621
19,3575500,129.23265,-1.57512,18.352379
20,345595,130.02208000000002,1.9054099999999998,18.29811
21,145203,183.3706,-1.3840700000000001,18.97801
22,611334,184.42766,0.33915,18.409649
23,184530,176.70961,-1.43842,18.554363
24,262836,221.40536,2.31397,19.037022
25,318892,212.77747000000002,1.9696,19.272856
26,3886216,136.0962,-1.58451,18.832827
27,138582,183.14009,-1.827,18.391932
28,238892,215.56828,1.56082,19.014168
29,251874,220.77951000000002,1.9728900000000005,19.27091
30,592910,214.63086,-0.01464,18.233583
31,3629152,135.88863999999998,-0.9748700000000001,18.996344
32,3891172,139.22725,-1.54519,18.95324
33,3896212,129.80597,-0.8302200000000001,18.96374
34,262874,221.61067000000003,2.2238900000000004,19.19102
35,296451,211.85398999999998,1.55536,18.686167
36,77312,212.84527999999997,0.02337,18.975952
37,78854,218.86757999999998,0.058289999999999995,19.668423
38,508050,215.57336,-1.7087900000000005,19.395672
39,16104,217.678198,0.744506,18.9471
40,39881,178.561221,-0.789145,19.082224
41,569641,219.72968999999998,-0.597266,18.241184
