,Unnamed: 0,Unnamed: 0.1,GAMA_ID,ID,RA,DEC,SCORE,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type
150,150,219,138014.0,1421.0,180.4828,-1.8330799999999998,8.0,0.2487235814332962,9.385992050170898,40.0,0.3073708713054657,3.5523958206176762,47.0,3.30208420753479,3.30208420753479,1.0758041143417358,0.9999985098838806,51.79115295410156,PG + ELG
151,151,220,55416.0,1702.0,181.97096000000002,-0.36712,8.0,0.6412136554718018,3.973430633544922,42.0,0.6616196632385254,3.4233641624450684,43.0,3.0171706676483154,3.0171706676483154,1.1346273422241209,0.19717124104499814,88.04875183105469,PG + ELG
152,152,220,55416.0,1702.0,181.97096000000002,-0.36712,8.0,0.42264077067375183,7.610091209411621,40.0,0.4522664248943329,3.106813907623291,47.0,2.994086742401123,2.994086742401123,1.0376499891281128,0.999985933303833,61.9273567199707,PG + ELG
156,156,226,559216.0,2507.0,176.11624,-0.61902,4.0,0.2502009868621826,9.004105567932129,40.0,0.7136363387107849,3.6533803939819336,45.0,2.756442785263061,2.756442785263061,1.3253967761993408,0.9999992847442628,50.80804824829102,PG + ELG
162,162,231,69781.0,865.0,176.55864,0.07481,4.0,0.26208898425102234,12.3543119430542,40.0,0.6593535542488098,2.7613019943237305,45.0,2.538987398147583,2.538987398147583,1.0875602960586548,1.0,36.35726547241211,PG + ELG
164,164,234,55815.0,3368.0,183.55873,-0.26605999999999996,4.0,0.2487292438745499,9.487428665161133,40.0,0.3359052240848541,3.86094069480896,47.0,3.456018686294556,3.456018686294556,1.1171642541885376,0.9999924898147584,43.77366638183594,PG + ELG
171,171,244,272448.0,2541.0,179.41953,1.42309,4.0,0.2717644274234772,11.36670207977295,40.0,0.8888060450553894,4.819479465484619,43.0,3.290292501449585,3.290292501449585,1.464757204055786,0.9999996423721312,41.047550201416016,PG + ELG
182,182,259,99618.0,2999.0,183.61463999999998,0.87977,4.0,0.27188369631767273,12.513648986816404,40.0,0.8879566192626953,3.5972702503204346,43.0,3.5239603519439697,3.5239603519439697,1.0208032131195068,1.0,37.42086410522461,PG + ELG
185,185,273,219807.0,2529.0,179.20996,1.6205100000000001,4.0,0.21314039826393127,11.496821403503418,40.0,0.8012699484825134,3.7600293159484863,43.0,3.719669103622437,3.719669103622437,1.0108504295349119,0.9999999403953552,40.20234680175781,PG + ELG
186,186,275,290269.0,1357.0,185.47202,1.74911,4.0,0.23684558272361755,12.900395393371582,40.0,0.6427772045135498,3.186252355575561,47.0,2.9603710174560547,2.9603710174560547,1.0763016939163208,1.0,36.65437316894531,PG + ELG
187,187,275,290269.0,1357.0,185.47202,1.74911,4.0,0.23701070249080655,9.876306533813477,40.0,0.6996560096740723,3.631131887435913,43.0,3.3208372592926025,3.3208372592926025,1.0934386253356934,0.999999463558197,41.32605361938477,PG + ELG
190,190,278,220682.0,1618.0,182.74348,1.59789,4.0,0.28891828656196594,9.838969230651855,40.0,0.3613660633563995,9.816245079040527,47.0,5.494938850402832,5.494938850402832,1.786415696144104,0.8645688891410828,45.034095764160156,PG + ELG
191,191,278,220682.0,1618.0,182.74348,1.59789,4.0,0.2888886034488678,9.714017868041992,40.0,0.361284613609314,9.452859878540039,47.0,6.759976863861084,6.759976863861084,1.398356795310974,0.7100459337234497,43.63288497924805,PG + ELG
196,196,282,145196.0,2305.0,183.26285,-1.34695,4.0,0.2525731027126312,7.627409934997559,40.0,0.646328866481781,3.492371082305908,43.0,3.2481842041015625,3.2481842041015625,1.075176477432251,0.9999164342880248,52.32482147216797,PG + ELG
200,200,289,23010.0,2397.0,179.90819,1.19835,4.0,0.25856444239616394,10.23172092437744,40.0,0.8681350350379944,3.3502821922302246,43.0,3.283008575439453,3.283008575439453,1.0204914808273315,0.9999999403953552,43.74739074707031,PG + ELG
203,203,295,185602.0,1145.0,180.87231,-1.50094,4.0,0.24961166083812714,12.753033638000488,40.0,0.8557909727096558,2.9713504314422607,43.0,2.969149112701416,2.969149112701416,1.0007413625717163,1.0,37.84607696533203,PG + ELG
205,205,297,143752.0,1689.0,177.28355,-1.3395,4.0,0.3338156044483185,12.262755393981935,40.0,0.6327885985374451,2.995530128479004,47.0,2.7103066444396973,2.7103066444396973,1.1052366495132446,1.0,37.47438430786133,PG + ELG
221,221,314,92918.0,2098.0,217.90807,0.4978,18.0,0.4060841202735901,10.200376510620117,40.0,0.7255886793136597,2.8738853931427,43.0,2.6985905170440674,2.6985905170440674,1.0649579763412476,1.0,45.01422119140625,PG + ELG
223,223,316,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453,PG + ELG
229,229,321,618700.0,967.0,216.44481000000002,0.33619,16.0,0.2888904809951782,9.463759422302246,40.0,0.6399160027503967,3.4951632022857666,45.0,3.227651834487915,3.227651834487915,1.0828810930252075,0.999999225139618,45.73212432861328,PG + ELG
235,235,326,569022.0,3479.0,217.39471,-0.44716999999999996,14.0,0.2811345458030701,11.313512802124025,42.0,0.8398751616477966,2.692682981491089,43.0,2.537341356277466,2.537341356277466,1.0612221956253052,1.0,39.63151931762695,PG + ELG
237,237,328,261497.0,3466.0,214.74447999999998,2.51797,12.0,0.31619012355804443,11.160442352294922,40.0,0.7308408617973328,4.159204959869385,43.0,3.8048791885375977,3.8048791885375977,1.0931240320205688,0.999999701976776,41.065513610839844,PG + ELG
250,250,340,362429.0,2390.0,215.00124,2.6989099999999997,8.0,0.3147733509540558,9.225486755371094,40.0,0.8888757228851318,3.6016321182250977,43.0,3.3594119548797607,3.3594119548797607,1.0721019506454468,0.9999971985816956,44.68323516845703,PG + ELG
256,256,346,63135.0,152.0,214.68704,-0.22962,8.0,0.3556108176708221,10.97834014892578,40.0,0.6622291207313538,2.852622985839844,47.0,2.7273106575012207,2.7273106575012207,1.0459471940994265,1.0,43.71751403808594,PG + ELG
257,257,347,320345.0,982.0,217.98141,1.80345,8.0,0.2773083448410034,11.049975395202637,40.0,0.6800206899642944,3.5509493350982666,45.0,3.348564624786377,3.348564624786377,1.0604392290115356,1.0,42.96818923950195,PG + ELG
258,258,348,62734.0,539.0,213.56206,-0.24168,8.0,0.27416789531707764,11.88359546661377,40.0,0.5974463224411011,3.756571292877197,45.0,2.535885572433472,2.535885572433472,1.4813647270202637,1.0,40.7535400390625,PG + ELG
265,265,354,592897.0,1204.0,214.41272999999998,-0.16268,4.0,0.3696040213108063,5.338892459869385,40.0,0.8823959827423096,3.164812564849853,43.0,2.8863337039947514,2.8863337039947514,1.0964819192886353,0.9908294677734376,51.67131805419922,PG + ELG
271,271,358,513159.0,2123.0,221.91681,-0.9994200000000001,4.0,0.28945088386535645,9.708475112915039,40.0,0.7014451026916504,3.312683582305908,44.0,2.6681785583496094,2.6681785583496094,1.241552472114563,0.9999999403953552,40.63710021972656,PG + ELG
276,276,363,511725.0,951.0,215.82188,-1.26624,4.0,0.14177300035953522,12.057884216308596,40.0,0.641287088394165,3.1899545192718506,43.0,3.0305347442626958,3.0305347442626958,1.0526045560836792,1.0,36.482521057128906,PG + ELG
277,277,364,593219.0,457.0,215.79222000000001,-0.09455,4.0,0.4010081887245178,11.679271697998047,40.0,0.8600229024887085,3.8478670120239262,45.0,2.805649518966675,2.805649518966675,1.3714710474014282,1.0,41.26661682128906,PG + ELG
288,288,373,491536.0,2054.0,212.20937999999998,-1.53839,4.0,0.4705475568771362,9.341739654541016,40.0,0.8011901378631592,3.493397951126098,43.0,3.106510877609253,3.106510877609253,1.1245406866073608,0.9999988079071044,55.91268920898438,PG + ELG
289,289,374,617569.0,1418.0,212.16078,0.2401,4.0,0.31386977434158325,9.380717277526855,40.0,0.727821946144104,3.4270968437194824,43.0,2.5917186737060547,2.5917186737060547,1.3223259449005127,0.9999999403953552,49.87385177612305,PG + ELG
312,312,394,342310.0,2163.0,215.08101000000002,2.1713400000000003,4.0,0.3797509968280792,9.367025375366213,40.0,0.6925411820411682,3.493913173675537,43.0,2.644425630569458,2.644425630569458,1.321237087249756,0.9999998807907104,47.35982131958008,PG + ELG
316,316,397,507875.0,563.0,214.70021,-1.70514,4.0,0.3164950907230377,3.8312699794769287,40.0,0.6697331666946411,3.293867588043213,47.0,2.983665943145752,2.983665943145752,1.1039665937423706,0.5926803350448608,94.9211654663086,PG + ELG
327,327,407,362243.0,171.0,214.01757999999998,2.62049,4.0,0.3700767457485199,6.3474555015563965,40.0,0.8844160437583923,3.849949836730957,43.0,3.33668851852417,3.33668851852417,1.1538236141204834,0.9949505925178528,52.88041687011719,PG + ELG
329,329,408,240337.0,318.0,221.92004,1.53094,4.0,0.3591359257698059,9.296110153198242,40.0,0.6371622681617737,3.9090421199798575,45.0,3.341959953308105,3.341959953308105,1.1696854829788208,0.9999911785125732,51.52780532836914,PG + ELG
342,342,416,17187.0,47.0,222.20966,0.70773,4.0,0.2944845855236053,12.347901344299315,40.0,0.7020667791366577,2.8033368587493896,45.0,2.625130176544189,2.625130176544189,1.0678849220275881,1.0,38.23384094238281,PG + ELG
346,346,419,250289.0,2730.0,214.36708,1.99311,28.0,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,1.378510355949402,0.9999518990516664,52.42391586303711,PG + ELG
2,2,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,1.578601956367493,0.9894577264785768,29.41335868835449,PG + ELG
53,53,79,323200.0,3430.0,130.73718,1.55961,4.0,0.4157901704311371,9.722792625427246,47.0,0.3498050570487976,6.658331871032715,40.0,3.8422210216522217,3.8422210216522217,1.732938289642334,0.9986246824264526,30.939067840576172,PG + ELG
76,76,111,215373.0,1607.0,133.64789,0.46448,4.0,0.3255872428417206,11.490988731384276,44.0,0.25082483887672424,3.5192582607269287,40.0,3.4074220657348637,3.4074220657348637,1.0328212976455688,1.0,30.06406593322754,PG + ELG
224,224,316,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,0.6498517394065857,6.4098219871521,47.0,0.22703874111175534,6.293928146362305,40.0,3.8350911140441895,3.8350911140441895,1.6411417722702026,0.36642855405807495,39.20055389404297,PG + ELG
228,228,320,594552.0,3012.0,220.49692000000002,-0.01709,16.0,0.35993456840515137,10.176191329956056,47.0,0.3553548753261566,8.791006088256836,40.0,5.163684844970703,5.163684844970703,1.7024675607681274,0.9635315537452698,29.67083740234375,PG + ELG
281,281,368,342308.0,501.0,215.06900000000002,2.22428,4.0,0.390562891960144,9.589674949645996,45.0,0.3281242847442627,5.874611854553223,40.0,4.454682350158691,4.454682350158691,1.3187499046325684,0.9990730285644532,44.66462326049805,PG + ELG
328,328,407,362243.0,171.0,214.01757999999998,2.62049,4.0,0.7845309376716614,4.188628673553467,43.0,0.3706425428390503,3.934722900390625,40.0,3.273205280303955,3.273205280303955,1.2021008729934692,0.10691878944635393,75.08401489257812,PG + ELG
111,111,152,173045.0,534.0,185.64713999999998,-2.42117,36.0,0.25558531284332275,9.231234550476074,44.0,0.4946501553058624,3.5953791141510014,40.0,3.2675609588623047,3.2675609588623047,1.1003249883651731,0.9999960660934448,28.058637619018555,ELG + PG
149,149,219,138014.0,1421.0,180.4828,-1.8330799999999998,8.0,0.21117828786373136,4.049180984497069,47.0,0.2735001146793365,3.5393097400665283,42.0,3.4984371662139893,3.4984371662139893,1.0116831064224243,0.520858883857727,47.101829528808594,ELG + PG
206,206,298,130525.0,2151.0,177.75545,-2.10927,4.0,0.10592132061719894,3.4912400245666504,47.0,0.6766173243522644,3.226210117340088,41.0,3.0377259254455566,3.0377259254455566,1.062047839164734,0.3551546335220337,78.19132232666016,ELG + PG
269,269,357,569047.0,323.0,217.2968,-0.46521999999999997,4.0,0.24698926508426666,4.6781086921691895,44.0,0.33275899291038513,4.612926959991455,42.0,4.558803081512451,4.558803081512451,1.011872410774231,0.2578174471855164,47.408935546875,ELG + PG
299,299,382,618212.0,373.0,214.67656000000002,0.3966,4.0,0.2012843191623688,3.9618315696716313,44.0,0.4063044786453247,3.5899288654327397,42.0,3.453716278076172,3.453716278076172,1.0394394397735596,0.4265619218349457,45.13406372070313,ELG + PG
301,301,383,363119.0,2836.0,218.15031000000002,2.5688400000000002,4.0,0.3435560762882233,9.261415481567383,44.0,0.6852225065231323,3.09331488609314,42.0,3.041184425354004,3.041184425354004,1.0171414613723757,0.9999997615814208,40.76964950561523,ELG + PG
6,6,5,3575500.0,1906.0,129.23265,-1.57512,26.0,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,1.3020358085632324,0.9997017383575441,57.59304809570313,ELG + PG
11,11,10,371400.0,2275.0,131.20438000000001,1.00064,18.0,0.2949441075325012,10.016762733459473,40.0,0.2797389030456543,2.978842735290528,47.0,2.7592921257019043,2.7592921257019043,1.0795676708221436,1.0,43.25559616088867,ELG + PG
13,13,12,279505.0,654.0,137.68558000000002,1.0564799999999999,18.0,0.22626453638076785,12.158058166503904,40.0,0.017063029110431668,3.1191084384918213,45.0,3.082105875015259,3.082105875015259,1.0120055675506592,1.0,39.127723693847656,ELG + PG
14,14,13,386188.0,1677.0,130.0474,2.1025099999999997,18.0,0.35983577370643616,10.896883010864258,40.0,0.2916497588157654,3.0063295364379883,47.0,2.9709987640380864,2.9709987640380864,1.0118918418884275,1.0,41.23919677734375,ELG + PG
20,20,19,3575548.0,160.0,129.34523000000002,-1.6112,16.0,0.3121389150619507,12.46335220336914,40.0,0.2271173745393753,3.02852201461792,47.0,2.852168321609497,2.852168321609497,1.0618314743041992,1.0,40.33596420288086,ELG + PG
23,23,27,3581425.0,632.0,132.27286999999998,-1.55421,12.0,0.3331272304058075,10.657333374023438,40.0,0.0751463994383812,2.8767757415771484,47.0,2.8762714862823486,2.8762714862823486,1.0001753568649292,1.0,42.45989608764648,ELG + PG
24,24,28,3611074.0,3200.0,135.45943,-1.35515,12.0,0.3297165334224701,7.204981803894043,41.0,0.05999794602394104,3.3149738311767583,47.0,3.0139710903167725,3.0139710903167725,1.0998691320419312,0.9998989105224608,72.32990264892578,ELG + PG
31,31,43,371400.0,936.0,131.20436,1.00066,8.0,0.2949441075325012,10.016762733459473,40.0,0.2797389030456543,2.978842735290528,47.0,2.7592921257019043,2.7592921257019043,1.0795676708221436,1.0,43.25559616088867,ELG + PG
35,35,48,387064.0,1962.0,135.07565,2.33718,8.0,0.35123848915100103,8.271631240844728,42.0,0.246247872710228,3.0986025333404537,47.0,2.784637451171875,2.784637451171875,1.1127489805221558,0.999997854232788,49.91102600097656,ELG + PG
49,49,71,301292.0,1269.0,133.16687,1.23096,4.0,0.2618536949157715,12.369691848754885,40.0,0.006606011185795069,3.360323190689087,47.0,2.812669277191162,2.812669277191162,1.1947096586227417,1.0,40.555213928222656,ELG + PG
56,56,85,323638.0,1213.0,132.58467,1.5456299999999998,4.0,0.3262427747249603,11.1962308883667,40.0,0.22369632124900815,3.123793601989746,47.0,2.9554107189178467,2.9554107189178467,1.0569744110107422,1.0,42.02558517456055,ELG + PG
63,63,94,3579761.0,1736.0,131.40182,-1.50206,4.0,0.27878761291503906,10.035252571105957,40.0,0.01959005743265152,3.4385926723480225,47.0,3.0423307418823238,3.0423307418823238,1.1302495002746582,0.9999999403953552,43.19729232788086,ELG + PG
68,68,101,3897932.0,825.0,130.79007,-0.8879100000000001,4.0,0.2869845032691956,11.81979274749756,40.0,0.0046395729295909405,3.5277910232543945,47.0,2.676064968109131,2.676064968109131,1.3182755708694458,1.0,40.911808013916016,ELG + PG
80,80,113,345595.0,3294.0,130.02208000000002,1.9054099999999998,4.0,0.35989525914192205,7.3161258697509775,40.0,0.08408384025096892,3.7349147796630864,47.0,2.932336807250977,2.932336807250977,1.273699164390564,0.999868094921112,71.43119812011719,ELG + PG
82,82,116,575245.0,1767.0,139.11212,-0.04138,4.0,0.291546642780304,8.302957534790039,40.0,0.06676062941551207,2.9396321773529053,47.0,2.9030590057373047,2.9030590057373047,1.012598156929016,0.9999980330467224,52.65733337402344,ELG + PG
86,86,120,345716.0,1854.0,130.765,1.91609,4.0,0.3030848801136017,12.422673225402832,40.0,0.038366790860891335,3.1850159168243413,47.0,2.717817068099976,2.717817068099976,1.1719022989273071,1.0,38.54195022583008,ELG + PG
