,name,KIDS_ID,RA,DEC,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0,GAMA_ID,Z,STELLAR_MASS,f_dm,theta_e_Ang_slide,D1,D2,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error
0,LRG_129.88905_-1.6791.fits.png,KiDSDR4 J083933.372-014044.81,129.889052,-1.679115,17.1726,0.0026547,0.62,0.58,0.64,9.4,1.2,1.0,0.94,0.0,3853225,0.2700000107288361,886799990784.0,0.6632173383907803,3.623194762813175,815.1970503083065,1630.394100616613,0.26995763182640076,9.367972373962402,40,0.7084037661552429,3.713986873626709,42,3.207233428955078,3.207233428955078,1.158003330230713,0.999997615814209,52.51911544799805
1,galaxy_136.28057_-0.175.fits.png,KiDSDR4 J090507.336-001029.85,136.28056999999998,-0.17496,19.5882,0.00988238,0.71,0.67,0.73,8.2,1.47,1.0,0.82,0.0,915066,0.494599997997284,231100006400.0,0.5872939944758195,1.3752675789240754,1203.2469332978728,2406.4938665957457,0.4946211278438568,6.533443927764893,40,0.026035215705633163,3.4473257064819336,47,3.049896717071533,3.049896717071533,1.130308985710144,0.9990379810333252,57.1491584777832
2,LRG_137.80622_-0.1206.fits.png,KiDSDR4 J091113.492-000714.23,137.80622,-0.12062,17.8836,0.00340157,0.37,0.34,0.4,5.4,1.96,0.999,0.539,0.0,574940,0.3032000064849853,179000000512.0,0.5728708941888757,1.387005676862714,885.3345093206342,1770.6690186412684,0.3032110333442688,12.263957023620605,40,0.0016863388009369373,3.258209705352783,18,2.948991060256958,2.948991060256958,1.1048557758331299,1.0,39.84505844116211
3,LRG_129.73721_2.1475.fits.png,KiDSDR4 J083856.929+020851.17,129.737206,2.14755,18.7011,0.00451473,0.43,0.39,0.45,4.6,1.96,0.972,0.447,0.0,417345,0.35989999771118164,283499986944.0,0.5988318956196921,1.6999645133789676,993.8410705190303,1987.682141038061,0.3599627614021301,12.264738082885742,40,0.02406165562570095,2.6641788482666016,47,2.6529014110565186,2.6529014110565186,1.0042510032653809,1.0,42.2595100402832
4,LRG_131.8457_0.8238.fits.png,KiDSDR4 J084722.967+004925.69,131.845697,0.8238040000000001,18.4457,0.00244875,0.48,0.45,0.5,4.0,2.6830000000000003,0.87,0.348,1.0,278496,0.3061000108718872,186300006400.0,0.5751276730760339,1.4140663536822062,891.2198508831833,1782.4397017663666,0.30608004331588745,12.5718412399292,40,0.3846258521080017,3.206542730331421,46,2.936025857925415,2.936025857925415,1.092137098312378,1.0,39.617835998535156
5,LRG_131.14293_2.4684.fits.png,KiDSDR4 J084434.304+022806.23,131.142934,2.4684,18.8483,0.00422282,0.4,0.37,0.43,3.2,3.655,0.765,0.245,2.0,517175,0.33550000190734863,181399994368.0,0.5736228450012466,1.3499517631262463,948.8047391623123,1897.6094783246247,0.33554476499557495,11.455703735351562,40,0.23172198235988617,2.928270101547241,44,2.7642416954040527,2.7642416954040527,1.0593394041061401,1.0,40.81806182861328
6,LRG_140.57001_-0.327.fits.png,KiDSDR4 J092216.803-001937.22,140.570014,-0.327006,18.7952,0.00558118,0.49,0.46,0.51,2.0,2.757,0.76,0.152,3.0,205110,0.3772000074386597,195400007680.0,0.5778201949387939,1.3551178481099488,1024.3373182162702,2048.6746364325404,0.37729141116142273,10.421356201171875,40,0.44214770197868347,3.2070538997650146,47,2.848477363586426,2.848477363586426,1.1258835792541504,1.0,53.04415512084961
7,LRG_183.14553_0.1318.fits.png,KiDSDR4 J121234.927+000754.48,183.145531,0.1318,16.7311,0.00188037,0.25,0.22,0.27,5.4,3.499,1.0,0.54,1.0,71118,0.1835000067949295,280999985152.0,0.5983318186044128,2.1657443877863165,606.1700518447554,1212.340103689511,0.1835867166519165,9.899928092956543,40,0.7582283616065979,3.4266610145568848,43,3.171119213104248,3.171119213104248,1.0805840492248535,0.9999998211860657,48.46474838256836
8,galaxy_183.30933_-0.243.fits.png,KiDSDR4 J121314.238-001434.63,183.309326,-0.24295300000000006,18.5808,0.00328026,0.46,0.42,0.48,5.4,1.96,0.982,0.53,0.0,55728,0.2915000021457672,131200000000.0,0.5553313985551535,1.1799968443626,861.2032956319678,1722.4065912639355,0.291467547416687,11.275955200195312,44,0.26211032271385193,5.176180839538574,47,4.242855072021484,4.242855072021484,1.2199758291244507,0.9999717473983765,28.58293914794922
9,galaxy_182.57383_-2.5036.fits.png,KiDSDR4 J121017.719-023013.12,182.573831,-2.503647,19.1443,0.00510212,0.47,0.43,0.49,4.8,2.857,0.989,0.475,1.0,125108,0.3397000133991241,91320000512.0,0.5348735676829081,0.9132457027037536,956.7304897273947,1913.4609794547894,0.3738965392112732,4.141843318939209,47,0.047825220972299576,3.8881218433380127,44,3.714724540710449,3.714724540710449,1.0466784238815308,0.3729795515537262,51.581485748291016
