,Unnamed: 0_x,GAMA_ID,ID,RA,DEC,SCORE,Unnamed: 0_y,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error,type,type_number,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,z,zlens,zsource,sigma_lens,sigma_source,dlens,dsource,corrected_stellar_mass,score,P1,P3,DISC
11,316,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,94759.0,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453,PG + ELG,1,11.285226,192852750000.0,0.11088524,0.22704,0.22704437375068665,0.6498237252235413,9.393048286437988,7.239895820617676,716.4341659211938,1378.5027482374978,192852754432.0,18.0,0.988,,0.0
24,302,184530.0,2250.0,176.70961,-1.43842,4.0,67459.0,0.3906523585319519,10.292731285095217,40.0,0.15642881393432614,9.673656463623047,45.0,4.153193473815918,4.153193473815918,2.329209089279175,0.9605602025985718,47.6322135925293,ELG + PG,2,11.738676,547868180000.0,0.10859871,0.39032,0.15642881393432614,0.3906523585319519,9.673656463623047,10.292731285095217,531.9758837655181,1047.2610370108846,141367661905.26288,4.0,0.997,,2.0
