,Unnamed: 0,Unnamed: 0.1,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z,theta_e,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,R,prob,error
2,2,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,827700019200.0,0.7215999960899353,1.7153737096024877,0.7215898633003235,11.317520141601562,47.0,0.35328593850135803,7.519263744354247,40.0,4.763242244720459,4.763242244720459,1.578601956367493,0.9894577264785768,29.41335868835449
4,4,4,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,212900003840.0,0.4059000015258789,1.1599755527031703,0.4066231548786163,4.3280086517333975,40.0,0.7871177792549133,3.691353082656861,40.0,3.0299975872039795,3.0299975872039795,1.2182693481445312,0.7928287386894226,87.77485656738281
6,6,5,3575500.0,1906.0,129.23265,-1.57512,26.0,320900005888.0,0.36520001292228704,1.5013778297363507,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,1.3020358085632324,0.9997017383575441,57.59304809570313
34,34,31,585328.0,3234.0,182.36838,-0.00889,18.0,134699999232.0,0.20469999313354487,1.2992580331104362,0.20466271042823792,11.430782318115234,40.0,0.7887411713600159,3.3716747760772705,43.0,2.7561285495758057,2.7561285495758057,1.2233372926712036,1.0,39.34497833251953
48,48,45,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,73400000512.0,0.2269999980926513,0.9107635323211736,0.22704437375068665,9.393048286437988,40.0,0.6498237252235413,7.239895820617676,46.0,3.4115524291992188,3.4115524291992188,2.1221704483032227,0.996205747127533,45.35596466064453
49,49,45,544226.0,3212.0,214.42336,-0.8924700000000001,18.0,73400000512.0,0.2269999980926513,0.9107635323211736,0.6498517394065857,6.4098219871521,47.0,0.22703874111175534,6.293928146362305,40.0,3.8350911140441895,3.8350911140441895,1.6411417722702026,0.36642855405807495,39.20055389404297
50,50,46,250289.0,2730.0,214.36708,1.99311,28.0,189400006656.0,0.4009000062942505,1.100886361753243,0.4012139439582825,8.795989036560059,40.0,0.7196155786514282,4.5154995918273935,47.0,3.275636911392212,3.275636911392212,1.378510355949402,0.9999518990516664,52.42391586303711
