# 1: Tile name,# 2: Right ascension (degr,# 3: Declination (degr,# 4: Filter,# 5: Date (start of observation,# 6: Average PSF FWHM (arcsec),# 7: Average PSF ellipticity,# 8: Limiting magnitude (5 sigma,# 9: 98% completeness (mag),# 10: Average effective gain,# 11: Quality grade
KIDS_159.0_0.5,159,0.5,g,2014-12-26 06:31:19,0.78,0.05,25.13,24.01,16891170000000,A
KIDS_214.6_-2.5,214.596,-2.478,u,2015-06-19 01:18:04,1.15,0.03,24.2,23.08,3150157000000,A
KIDS_340.4_-30.2,340.447,-30.17,i,2012-07-01 04:23:08,0.74,0.05,23.37,22.35,12754030000000,B
KIDS_169.0_0.5,169,0.5,i,2012-12-28 06:00:56,0.77,0.05,23.26,22.27,13725460000000,C
KIDS_216.0_1.5,216,1.489,r,2013-07-12 00:49:51,0.57,0.05,24.96,24.06,31313130000000,B
KIDS_141.0_0.5,141,0.5,r,2014-01-29 05:34:32,0.66,0.04,25.03,24.1,30129100000000,A
KIDS_228.0_-0.5,228,-0.5,r,2014-07-20 00:49:05,0.57,0.05,25.12,24.26,30881400000000,B
KIDS_337.4_-33.1,337.426,-33.137,r,2014-11-12 00:27:20,0.75,0.05,25.07,24.01,29875370000000,A
KIDS_346.8_-34.1,346.8,-34.126,g,2014-07-29 06:38:12,0.85,0.06,25.26,24.13,17289540000000,A
KIDS_46.8_-34.1,46.8,-34.126,u,2013-10-29 05:58:28,0.97,0.03,24.29,23.16,3450886000000,B
KIDS_177.5_2.5,177.493,2.478,g,2014-04-27 23:56:37,0.86,0.04,25.12,24.04,16702380000000,B
KIDS_177.5_2.5,177.493,2.478,u,2013-03-06 06:57:57,1.08,0.04,23.88,22.31,3150951000000,B
KIDS_343.2_-34.1,343.2,-34.126,i,2012-05-05 08:06:14,0.63,0.05,23.15,22.18,12970510000000,C
KIDS_350.5_-33.1,350.495,-33.137,g,2012-11-05 01:53:55,0.81,0.04,25.12,23.99,16462510000000,B
KIDS_350.5_-33.1,350.495,-33.137,u,2012-07-26 09:08:39,0.83,0.03,24.09,22.46,3375580000000,B
KIDS_332.7_-33.1,332.673,-33.137,i,2012-07-29 02:08:20,1,0.04,23.63,22.43,12786940000000,B
KIDS_44.7_-32.1,44.706,-32.148,g,2012-12-07 03:26:07,0.71,0.05,25.26,24.18,17721550000000,A
KIDS_168.0_0.5,168,0.5,g,2014-12-24 08:01:03,0.61,0.05,25.06,24.1,16997670000000,B
KIDS_168.0_0.5,168,0.5,u,2015-01-19 06:14:38,1.03,0.04,24.27,23.06,3228713000000,B
KIDS_168.0_0.5,168,0.5,r,2015-01-18 07:39:29,0.71,0.07,25.18,24.2,29755290000000,A
KIDS_187.0_0.5,187,0.5,u,2013-04-05 04:55:00,1.07,0.03,24.16,23.25,3259924000000,B
KIDS_188.0_-0.5,188,-0.5,g,2015-05-20 00:36:16,0.8,0.04,25.22,24.09,17519490000000,A
KIDS_349.4_-32.1,349.412,-32.148,u,2011-09-05 07:13:55,1.03,0.06,24.3,23.08,3462750000000,B
KIDS_354.1_-32.1,354.118,-32.148,u,2012-10-12 01:58:38,1.14,0.07,24.22,23.26,3529218000000,A
KIDS_176.5_2.5,176.49,2.478,g,2014-04-27 01:52:11,0.77,0.05,25.13,24.13,17128500000000,B
KIDS_354.1_-32.1,354.118,-32.148,r,2013-07-12 06:40:34,0.77,0.04,25.08,24.11,31190150000000,A
KIDS_1.2_-33.1,1.188,-33.137,r,2014-07-20 08:39:38,0.7,0.05,24.93,23.95,31393860000000,A
KIDS_223.6_-2.5,223.621,-2.478,i,2014-07-12 02:29:18,0.72,0.05,23.38,22.42,13415790000000,B
KIDS_182.0_0.5,182,0.5,u,2012-05-23 00:42:08,1.12,0.04,24.18,23.06,3213784000000,B
KIDS_182.0_0.5,182,0.5,r,2013-02-19 07:34:21,0.64,0.05,25.06,24.25,32404160000000,A
KIDS_223.6_-2.5,223.621,-2.478,u,2012-08-09 23:29:38,1.17,0.05,24.1,22.51,3256953000000,A
KIDS_221.6_-2.5,221.616,-2.478,i,2013-03-24 06:38:04,0.63,0.06,23.85,22.98,13496960000000,B
KIDS_356.5_-31.2,356.505,-31.159,u,2012-11-10 02:29:13,0.88,0.05,24.3,23.07,3395656000000,A
KIDS_40.4_-33.1,40.396,-33.137,g,2014-08-25 08:59:29,0.63,0.05,25.26,24.34,17327120000000,B
KIDS_41.6_-33.1,41.584,-33.137,g,2014-01-27 01:19:05,0.85,0.04,25.09,24.02,15784670000000,B
KIDS_133.0_-1.5,133,-1.489,r,2013-12-11 06:22:55,0.63,0.05,24.95,24,30810830000000,A
KIDS_345.0_-30.2,345.048,-30.17,g,2014-12-21 00:51:26,1.11,0.06,24.91,23.78,16498640000000,B
KIDS_185.5_-2.5,185.515,-2.478,g,2015-01-22 07:55:29,0.68,0.05,25.15,24.15,17383980000000,A
KIDS_219.0_1.5,219,1.489,r,2013-03-10 08:08:45,0.81,0.05,25.04,23.99,32106240000000,B
KIDS_219.0_1.5,219,1.489,i,2012-07-04 02:42:45,0.59,0.05,23.3,22.4,12914290000000,B
KIDS_43.7_-30.2,43.706,-30.17,u,2014-12-26 02:38:04,1.08,0.04,24.23,23.08,3398190000000,B
KIDS_335.3_-32.1,335.294,-32.148,i,2012-08-21 01:56:26,0.75,0.07,24.1,23.16,12854560000000,A
KIDS_335.3_-32.1,335.294,-32.148,u,2014-08-01 05:07:03,0.94,0.04,24.34,23.22,3314866000000,B
KIDS_218.0_0.5,218,0.5,g,2015-05-18 05:23:21,0.89,0.04,25.14,24.06,15955880000000,B
KIDS_182.0_-0.5,182,-0.5,r,2013-02-17 07:50:54,0.48,0.06,25.08,24.36,31795080000000,B
KIDS_177.0_1.5,177,1.489,u,2012-03-31 04:59:47,1.09,0.04,24.17,22.84,3217738000000,B
KIDS_177.0_1.5,177,1.489,r,2013-04-07 04:54:56,0.64,0.04,24.78,23.93,30682260000000,A
KIDS_219.6_2.5,219.61,2.478,u,2014-05-28 02:42:35,1.23,0.03,23.91,22.74,2389034000000,B
