,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Experiment,phase1_time,phase1_likelihood,phase2_time,phase2_likelihood,phase3_time,phase3_likelihood
0,0.0,0.0,0.0,0.0,0.0,0.0,1,403.15828935429465,445.39877054445685,1164.1517512686548,163.1256746034137,,
1,1.0,1.0,1.0,1.0,0.0,,2,151.0800909921527,469.4428025838231,1602.7979387380185,164.33121551797763,,
2,2.0,2.0,2.0,0.0,,,2a,163.10259142518044,469.26773969495696,2655.558352611959,164.22388244947487,,
3,3.0,3.0,0.0,,,,3,176.82447953894734,469.5058815672488,712.292176079005,132.4518833949436,1283.7222716398535,163.72719541984418
4,4.0,0.0,,,,,3,162.73600136488673,469.27182163464164,687.8814339078963,132.94615915134344,2284.091834951192,164.1424083960721
5,0.0,,,,,,4,2.1761960275471206,785.6985830104023,0.35393068939447403,1253.966181168975,14332.22860161215,1593.1576352232944
0,,,,,,,5,987.6299657598138,784.0061996660324,1483.4401896037161,1265.1714620171765,11870.808293996379,1588.6855553683477
