,Unnamed: 0,GAMA_ID,ID,RA_x,DEC_x,type,corrected_stellar_mass,zlens,sigma_lens,zsource,sigma_source,R,dlens,dsource,Z,STELLAR_MASS,z1,sigma1,template1,z2,sigma2,template2,sigma3,sigma4,prob,error,score,P1,P3
25,25,362243.0,171.0,214.01757999999998,2.62049,PG + ELG,135699996672.0,0.3706425428390503,3.934722900390625,0.7845309376716614,4.188628673553467,1.2021008729934692,1012.9144069694804,1487.900100407033,0.3700999915599823,135699996672.0,0.7845309376716614,4.188628673553467,43.0,0.3706425428390503,3.934722900390625,40.0,3.273205280303955,3.273205280303955,0.10691878944635393,75.08401489257812,4,0.838,
26,26,3575500.0,1906.0,129.23265,-1.57512,ELG + PG,169696525755.75696,0.23253659904003146,4.330916404724121,0.3651945888996124,8.068477630615233,1.3020358085632324,729.5945038881138,1003.2979867788337,0.36520001292228704,320900005888.0,0.3651945888996124,8.068477630615233,42.0,0.23253659904003146,4.330916404724121,43.0,3.3262653350830083,3.3262653350830083,0.9997017383575441,57.59304809570313,26,0.929,
28,28,345595.0,3294.0,130.02208000000002,1.9054099999999998,ELG + PG,14260824226.015684,0.08408384025096892,3.7349147796630864,0.35989525914192205,7.3161258697509775,1.273699164390564,309.7579803458986,993.8325572496904,0.3594000041484833,146800001024.0,0.35989525914192205,7.3161258697509775,40.0,0.08408384025096892,3.7349147796630864,47.0,2.932336807250977,2.932336807250977,0.999868094921112,71.43119812011719,4,0.929,
29,29,145203.0,1939.0,183.3706,-1.3840700000000001,ELG + PG,9966521169.800257,0.06927647441625595,5.039492130279541,0.338887482881546,7.433445453643799,1.3904335498809814,259.5377575376944,955.2029013147817,0.33889999985694885,134999998464.0,0.338887482881546,7.433445453643799,40.0,0.06927647441625595,5.039492130279541,46.0,3.624403476715088,3.624403476715088,0.993988275527954,71.33643341064453,8,0.843,
30,30,611334.0,1517.0,184.42766,0.33915,ELG + PG,52096900405.0312,0.1533661186695099,4.0269556045532235,0.3078350126743317,10.453988075256348,1.2440340518951416,523.2925594688895,894.7229183226787,0.30790001153945923,152299995136.0,0.3078350126743317,10.453988075256348,40.0,0.1533661186695099,4.0269556045532235,46.0,3.237013816833496,3.237013816833496,0.9999997615814208,44.19900512695313,4,0.855,0.96
32,32,184530.0,2250.0,176.70961,-1.43842,ELG + PG,78261179095.05885,0.15642881393432614,9.673656463623047,0.3906523585319519,10.292731285095217,2.329209089279175,531.9758837655181,1047.2610370108846,0.3903000056743622,303299985408.0,0.3906523585319519,10.292731285095217,40.0,0.15642881393432614,9.673656463623047,45.0,4.153193473815918,4.153193473815918,0.9605602025985718,47.6322135925293,4,0.997,
33,33,262874.0,26.0,221.61067000000003,2.2238900000000004,ELG + PG,38025348920.12837,0.1946283727884293,4.816656112670898,0.3855178654193878,9.339181900024414,1.4155195951461792,635.3814330649025,1038.5915247476833,0.3855000138282776,101600002048.0,0.3855178654193878,9.339181900024414,40.0,0.1946283727884293,4.816656112670898,47.0,3.4027478694915767,3.4027478694915767,0.9999623298645021,45.55036544799805,12,,0.986
34,34,262874.0,26.0,221.61067000000003,2.2238900000000004,ELG + ELG,101600002048.0,0.3855810463428497,6.221604347229004,0.8589239716529846,3.421708345413208,1.2169698476791382,1038.6988013332705,1535.0487681632098,0.3855000138282776,101600002048.0,0.3855810463428497,6.221604347229004,40.0,0.8589239716529846,3.421708345413208,41.0,2.8116624355316158,2.8116624355316158,0.9991628527641296,65.07320404052734,12,,0.986
35,35,262836.0,1953.0,221.40536,2.31397,ELG + PG,36389605344.30289,0.14427031576633453,3.8695743083953857,0.418364942073822,10.22627067565918,1.3478573560714722,497.14595714529776,1092.3985649316778,0.41839998960495,175700000768.0,0.418364942073822,10.22627067565918,42.0,0.14427031576633453,3.8695743083953857,47.0,2.8709077835083012,2.8709077835083012,0.9999998807907104,45.51397323608398,4,0.975,0.826
38,38,318892.0,985.0,212.77747000000002,1.9696,ELG + PG,11762753971.267849,0.07145899534225464,4.82208776473999,0.4383212924003601,10.446876525878906,1.5036048889160156,267.04877850031374,1123.238882933938,0.4383000135421753,208099999744.0,0.4383212924003601,10.446876525878906,42.0,0.07145899534225464,4.82208776473999,47.0,3.2070178985595703,3.2070178985595703,0.9999982714653016,44.22132873535156,4,0.82,
39,39,3629152.0,1933.0,135.88863999999998,-0.9748700000000001,ELG + ELG,212900003840.0,0.4066231548786163,4.3280086517333975,0.7871177792549133,3.6913530826568617,1.2182693481445312,1073.6094960877542,1489.6837996994072,0.4059000015258789,212900003840.0,0.4066231548786163,4.3280086517333975,40.0,0.7871177792549133,3.6913530826568617,40.0,3.0299975872039795,3.0299975872039795,0.7928287386894226,87.77485656738281,26,,0.883
40,40,3891172.0,3056.0,139.22725,-1.54519,ELG + ELG,85910003712.0,0.3395165801048279,8.936283111572266,0.609051525592804,4.309550285339356,1.461408019065857,956.3858672293254,1338.1887783858308,0.3395000100135803,85910003712.0,0.3395165801048279,8.936283111572266,40.0,0.609051525592804,4.309550285339356,40.0,2.9489028453826904,2.9489028453826904,0.9999913573265076,50.43042755126953,16,0.906,0.807
41,41,3896212.0,1483.0,129.80597,-0.8302200000000001,ELG + ELG,362099998720.0,0.38068437576293945,9.616504669189453,0.8475534915924072,4.122061252593993,1.4343069791793823,1030.3402204415704,1528.3771389739725,0.3806999921798706,362099998720.0,0.38068437576293945,9.616504669189453,40.0,0.8475534915924072,4.122061252593993,42.0,2.8739044666290283,2.8739044666290283,0.9999988079071044,51.45428466796875,8,0.997,0.959
42,42,296451.0,2635.0,211.85398999999998,1.55536,ELG + ELG,333400014848.0,0.44453489780426025,9.042179107666016,0.8786750435829163,4.203336715698241,1.4160183668136597,1132.5678293028868,1546.2065547277616,0.44449999928474426,333400014848.0,0.44453489780426025,9.042179107666016,40.0,0.8786750435829163,4.203336715698241,42.0,2.968419551849365,2.968419551849365,0.9999939203262328,49.97542190551758,8,0.968,0.975
43,43,77312.0,2749.0,212.84527999999997,0.02337,ELG + ELG,126199996416.0,0.3729970455169678,12.457383155822756,0.8049169778823853,4.062300205230713,1.3827390670776367,1017.0348722108188,1501.66511222773,0.37290000915527344,126199996416.0,0.3729970455169678,12.457383155822756,40.0,0.8049169778823853,4.062300205230713,42.0,2.9378645420074463,2.9378645420074463,1.0,38.93510055541992,8,0.887,0.99
46,46,78854.0,1377.0,218.86757999999998,0.058289999999999995,ELG + ELG,91360002048.0,0.343286007642746,5.920869827270508,0.6609829068183899,4.681939601898193,1.3914625644683838,963.4397066107657,1388.9040992911498,0.34369999170303345,91360002048.0,0.343286007642746,5.920869827270508,40.0,0.6609829068183899,4.681939601898193,40.0,3.3647615909576416,3.3647615909576416,0.9497814774513244,61.66193008422852,4,0.98,0.931
47,47,508050.0,1905.0,215.57336,-1.7087900000000005,ELG + ELG,83952898863.19804,0.2047271877527237,3.7135543823242174,0.4165388345718384,5.481457233428955,1.2230722904205322,661.2660261235579,1089.5082496307632,0.4163999855518341,227899998208.0,0.4165388345718384,5.481457233428955,40.0,0.2047271877527237,3.7135543823242174,40.0,3.0362510681152344,3.0362510681152344,0.9833397269248962,51.72885513305664,4,0.866,
49,49,3886216.0,1340.0,136.0962,-1.58451,PG + PG,209699995648.0,0.4041702151298523,8.735891342163086,0.8859135508537292,5.979778289794923,1.3024464845657349,1069.6226263754472,1550.162079850647,0.4041999876499176,209699995648.0,0.4041702151298523,8.735891342163086,45.0,0.8859135508537292,5.979778289794923,45.0,4.591189384460449,4.591189384460449,0.9877343773841858,40.514793395996094,8,0.843,
51,51,138582.0,2828.0,183.14009,-1.827,PG + PG,147399999488.0,0.3251754939556122,9.727863311767578,0.4326481819152832,4.904556751251222,1.3248893022537231,929.0066841395261,1114.6091773191806,0.3253999948501587,147399999488.0,0.3251754939556122,9.727863311767578,44.0,0.4326481819152832,4.904556751251222,47.0,3.7018616199493413,3.7018616199493413,0.9999466538429259,35.33502578735352,14,0.975,0.986
53,53,238892.0,1924.0,215.56828,1.56082,PG + PG,175599992832.0,0.3051163554191589,11.378454208374025,0.7162910103797913,3.843106746673584,1.2878119945526123,889.2278212761719,1436.7245565165806,0.3048999905586243,175599992832.0,0.3051163554191589,11.378454208374025,44.0,0.7162910103797913,3.843106746673584,45.0,2.9842140674591064,2.9842140674591064,1.0,37.94549179077149,4,0.892,
54,54,251874.0,2253.0,220.77951000000002,1.9728900000000005,PG + PG,82929999872.0,0.33900901675224304,9.344691276550293,0.7982330322265625,6.804222106933594,1.311212182044983,955.431563705811,1497.2250901060986,0.33869999647140503,82929999872.0,0.33900901675224304,9.344691276550293,47.0,0.7982330322265625,6.804222106933594,45.0,5.189260959625244,5.189260959625244,0.9713600277900696,36.265525817871094,4,0.959,
55,55,592910.0,1852.0,214.63086,-0.01464,PG + PG,172999999488.0,0.2634434700012207,12.177196502685547,0.6613672971725464,3.352957963943481,1.2294772863388062,800.7253414274553,1389.2577131033875,0.26330000162124634,172999999488.0,0.2634434700012207,12.177196502685547,44.0,0.6613672971725464,3.352957963943481,45.0,2.7271411418914795,2.7271411418914795,1.0,35.77731704711914,4,0.8240000000000001,0.961
