galaxies_lens_mass_intensity,galaxies_lens_mass_effective_radius,galaxies_lens_mass_mass_to_light_ratio,galaxies_source_bulge_intensity,galaxies_source_bulge_centre_0,galaxies_source_bulge_centre_1,galaxies_source_bulge_effective_radius,log_likelihood,log_prior,log_posterior,weights
0.001663220220831661,5.159208653799331,35.99817159881303,778044.2147725502,0.8467612294250522,2.015159189268613,3.5115578528972864,-5371700570446813.0,601.4649001119632,-5371700570446212.0,0.0
0.024027389589117234,0.4091295743142138,85.85202310157753,516666.1078014197,-2.846745297200941,1.2813275965008417,4.5444360646834685,-1975786178858256.2,44.07503281627499,-1975786178858212.2,0.0
1.56884245407553e-06,0.5411652532904947,870842.0440201173,147182.03885463372,1.4709091728592858,-0.4723225944943281,3.094687984290645,-384110704746627.0,637414.4812455587,-384110704109212.5,0.0
0.29825762660563854,0.02934374691398721,1190.8349917176822,281369.68229242804,1.3607722704672938,-0.8089613391331918,1.3591035588080946,-353581362150636.1,37.432460260698306,-353581362150598.7,0.0
0.4206743894660236,0.6561221823227504,2.0542479157529914,140312.07950451924,-2.9074460869269645,0.36160604669615815,4.252223008584853,-147927009759485.53,4.38804510232467,-147927009759481.16,0.0
7.102508117762506,0.003765933463724453,2903.9780660626056,204668.2293772884,2.7753381007608304,1.6705174945257788,2.874655062112181,-80179276330749.92,265.67955879070166,-80179276330484.25,0.0
0.006680373165504442,0.43833183197280223,240.13523014351546,72559.35640680874,0.46171105876533947,-0.7391806839697868,1.4003802463670556,-56679381131290.734,151.977791267526,-56679381131138.76,0.0
0.07737886219205067,8.002336019349785,0.43464841896764117,49332.82007711791,0.058835811139199556,1.8127129975968765,4.592980857007249,-46611626108673.38,15.349119870073267,-46611626108658.03,0.0
2.6856696865770657e-05,5.833753824697699,1499.8408953503067,36063.299686226645,-0.45296403731022794,-1.0764151579308605,4.020739316797923,-39258297110178.02,37234.832984949935,-39258297072943.19,0.0
2.925265069296997,0.02101923007233407,224.89238130459077,43361.86297313993,-0.7468867516442859,1.0322366974574537,2.929472761229625,-28738218035134.355,47.92180090255955,-28738218035086.434,0.0
7.85150178189691e-05,0.1356857043291633,174498.89001633262,33827.73035150709,-1.9958169301823387,-0.34449177750919047,4.578976173488351,-19405811207333.414,12743.786910327051,-19405811194589.63,0.0
0.047192094993725967,0.483761360346037,37.21609656327002,28126.250583048244,-2.4724995556521736,-1.9770457821499159,4.658347790598795,-6709240356407.576,23.284030120821356,-6709240356384.292,0.0
9.286635748230827e-05,0.4318570118399113,19422.745323619944,19283.408550824723,2.4378022304780886,-1.3081418879947506,4.5439354295691885,-4785621058929.125,10770.47788144409,-4785621048158.647,0.0
0.010190247195598698,0.008574374772799667,345933.87522883504,12556.009340609395,-0.7734993627849125,1.5192835950457138,4.975046705226201,-3475106087219.396,214.7597082195737,-3475106087004.636,0.0
0.33460627255396214,1.2387801883588798,1.0634248320192712,39055.80944968407,-2.3594472240959403,2.1924636037947964,3.0690975901041666,-3355373360691.4854,4.736216405657229,-3355373360686.749,0.0
0.06690055121014497,0.3379601569019838,36.51525458258336,152699.55780090133,0.9274142814159676,-2.9574603837307536,1.0629824890900796,-2168727536829.4695,17.933880992269604,-2168727536811.5356,0.0
1.8589811607519602,0.7611309112543388,0.32550765694957845,4820.217680210813,-0.8548792473662559,-0.33834901180446764,2.3470120680852102,-400960570709.098,4.924095312778947,-400960570704.17395,0.0
9.553816175059463,0.04368921196833554,14.765416593097601,21204.9221521029,2.3068039467077543,1.9264357148517695,2.1078374594864293,-329943714727.4695,23.061388888621384,-329943714704.4081,0.0
3.827799964970077,0.003925064238732375,4704.015269571251,2658.175570866088,-0.6106548964958751,-1.0728542174009825,4.656589508042826,-220804881555.084,255.03473576246353,-220804881300.0493,0.0
0.009098305131266535,5.547064739954201,6.389173783571343,4189.214649903586,0.9104508107890776,-0.9902883673216278,1.6581570445737892,-165225127095.04306,110.2476096516089,-165225126984.79544,0.0
0.11280317172939112,2.196075316654124,1.4204613388269138,4354.258237482702,-2.9023188851773214,-0.8043889666375721,3.95113801801648,-114563090441.59125,10.02458304146635,-114563090431.56667,0.0
3.845220753222519,0.002492420537255985,13376.043623204025,2162.432041160589,1.8466283259681715,0.499180080812764,4.944876384618069,-100171366401.49663,401.4770022034092,-100171366000.01962,0.0
0.04429560640125231,0.07659175402421779,1188.3413719576072,11113.378141144813,-1.8292203482516747,1.1840543303698636,1.2819294061031927,-57459213739.19945,35.632769720292565,-57459213703.56668,0.0
0.12136311415604792,0.009071460327412788,30403.56131615403,81817.0012076676,1.9225028053572242,1.9411030847854729,0.8016288492876444,-30450157968.3082,118.47561551632997,-30450157849.832584,0.0
7.279096857788978,12.95390206538672,0.003248093585547399,1387.742714402705,1.509832097144427,-1.0792401472786652,3.11086659756767,-26157424563.725418,308.0881996610695,-26157424255.63722,0.0
0.6194287701634906,24.53523768013515,0.026924471377680132,9002.103194287527,1.0501736807692872,-0.3459244429931525,0.5083232347844191,-18541286123.77604,38.7961928812504,-18541286084.979847,0.0
0.7407639801146944,0.7168125656444375,0.9814440718472638,1151.6543448226964,0.9733118095786044,2.085095408550556,3.8443618063185085,-12707150224.235521,3.764797554261026,-12707150220.470724,0.0
0.15701551872008332,0.004533503651484285,79123.32111394992,1072.2605124734907,-1.0736156179115983,1.8507276389317822,3.649213819420656,-11657395083.141989,226.94969053896313,-11657394856.192299,0.0
6.096191545774887,0.0021250450845841313,9050.062362482186,2485.7743180664115,2.679117970002464,-2.716982109947283,2.4294638354262164,-6105417098.193028,470.7428010026512,-6105416627.450228,0.0
